"male","age","ed","agem","edm","agef","edf"
2,5,1,23,5,29,7
2,74,0,NA,NA,NA,NA
2,29,0,NA,NA,NA,NA
2,18,0,NA,NA,NA,NA
1,0,0,19,7,24,8
2,36,0,NA,NA,NA,NA
1,57,1,NA,NA,NA,NA
1,24,8,42,0,NA,NA
1,9,1,24,1,33,8
1,3,0,25,0,29,3
2,15,3,44,0,NA,NA
1,13,NA,NA,NA,NA,NA
1,27,8,NA,NA,NA,NA
2,14,2,29,0,31,6
1,6,0,39,0,43,0
1,33,8,NA,NA,NA,NA
2,37,6,NA,NA,NA,NA
1,41,4,NA,NA,NA,NA
1,5,0,27,2,33,8
2,33,0,59,0,62,6
1,15,5,36,0,NA,NA
2,5,NA,NA,NA,NA,NA
1,14,2,37,0,NA,NA
2,26,4,NA,NA,NA,NA
2,25,0,NA,NA,NA,NA
1,7,1,45,0,52,3
1,65,7,NA,NA,NA,NA
1,8,2,41,0,NA,NA
1,33,7,NA,NA,NA,NA
1,15,2,37,0,NA,NA
2,34,7,NA,NA,NA,NA
1,62,4,NA,NA,NA,NA
1,39,9,NA,NA,NA,NA
1,9,3,28,6,29,4
2,32,0,NA,NA,NA,NA
2,5,1,23,4,NA,NA
1,26,5,NA,NA,NA,NA
1,39,8,NA,NA,NA,NA
1,1,0,26,0,29,0
1,34,12,NA,NA,NA,NA
2,25,7,NA,NA,NA,NA
1,22,2,NA,NA,NA,NA
2,0,NA,33,0,38,0
2,12,1,36,5,NA,NA
2,17,5,35,3,NA,NA
1,6,0,28,0,32,7
2,25,0,NA,NA,NA,NA
2,4,0,32,6,NA,NA
2,41,0,67,0,NA,NA
2,4,0,24,10,29,13
2,36,4,67,0,NA,NA
1,33,8,NA,NA,NA,NA
1,16,7,34,5,51,8
2,11,1,47,2,52,0
2,14,7,44,0,47,9
2,12,5,39,5,NA,NA
1,6,2,29,8,NA,NA
1,7,NA,NA,NA,NA,NA
1,15,4,37,2,48,5
2,0,0,33,5,39,8
2,4,0,49,0,53,8
1,29,0,NA,NA,NA,NA
2,20,0,NA,NA,NA,NA
2,24,7,NA,NA,NA,NA
1,23,8,55,0,NA,NA
1,51,2,NA,NA,NA,NA
2,17,5,NA,NA,NA,NA
1,1,NA,18,8,49,8
2,21,4,NA,NA,NA,NA
1,2,0,25,6,29,7
2,1,0,30,4,NA,NA
2,55,1,NA,NA,NA,NA
2,47,0,NA,NA,NA,NA
2,18,4,49,1,79,0
1,11,2,52,2,48,8
2,3,NA,24,0,26,4
1,14,NA,NA,NA,NA,NA
2,32,0,NA,NA,NA,NA
2,54,0,NA,NA,NA,NA
1,10,4,26,6,32,4
2,24,1,42,0,42,NA
1,8,2,37,0,38,8
2,14,7,48,0,52,3
2,23,3,NA,NA,NA,NA
2,22,0,59,0,NA,NA
1,22,8,NA,NA,NA,NA
1,5,0,24,5,31,6
1,4,0,34,0,40,5
1,48,4,NA,NA,NA,NA
2,11,2,45,0,55,5
2,13,2,29,0,34,0
1,20,12,44,0,47,9
2,0,0,21,5,23,2
1,38,12,NA,NA,NA,NA
1,22,14,56,6,NA,NA
2,33,0,NA,NA,NA,NA
1,23,7,59,0,NA,NA
1,2,0,49,0,NA,NA
2,1,0,27,4,31,3
1,10,1,30,0,34,8
1,61,6,NA,NA,NA,NA
2,47,2,NA,NA,NA,NA
1,19,3,54,1,75,6
1,37,0,NA,NA,NA,NA
1,16,8,30,0,32,0
1,31,7,NA,NA,NA,NA
2,41,0,NA,NA,NA,NA
2,17,0,NA,NA,NA,NA
2,57,0,NA,NA,NA,NA
2,31,0,NA,NA,NA,NA
2,3,0,23,4,29,3
1,27,10,NA,NA,NA,NA
1,37,8,NA,NA,NA,NA
1,8,1,29,0,34,8
2,1,0,22,0,30,6
2,0,0,24,0,30,3
2,27,7,57,0,NA,NA
1,10,NA,NA,NA,NA,NA
1,45,7,NA,NA,NA,NA
2,31,0,NA,NA,NA,NA
1,18,0,32,0,33,4
1,4,0,24,0,NA,NA
2,5,0,37,0,40,7
2,24,0,NA,NA,NA,NA
2,46,0,NA,NA,NA,NA
1,8,1,54,1,75,6
2,20,4,NA,NA,NA,NA
2,9,0,27,0,36,3
2,44,5,NA,NA,NA,NA
2,14,8,44,0,57,4
2,24,3,47,0,NA,NA
2,3,0,38,0,49,4
2,37,0,NA,NA,NA,NA
1,2,0,23,6,27,0
1,7,0,31,0,39,8
2,45,0,NA,NA,NA,NA
1,61,6,NA,NA,NA,NA
2,0,0,37,0,40,5
1,15,3,47,0,NA,NA
1,40,8,NA,NA,NA,NA
2,1,0,20,4,28,8
1,17,0,44,0,49,0
2,23,0,NA,NA,NA,NA
2,38,0,NA,NA,NA,NA
2,32,0,-2,0,NA,NA
1,35,6,NA,NA,NA,NA
1,0,0,23,0,31,0
2,28,0,NA,NA,NA,NA
2,4,0,33,0,33,12
2,24,7,NA,NA,NA,NA
2,4,1,55,0,NA,NA
1,21,3,NA,NA,NA,NA
2,1,0,35,5,36,3
1,15,1,36,0,40,8
1,27,0,NA,NA,NA,NA
2,10,1,32,0,NA,NA
2,0,0,45,1,48,4
1,52,0,NA,NA,NA,NA
2,39,0,NA,NA,NA,NA
2,26,0,NA,NA,NA,NA
2,25,2,NA,NA,NA,NA
2,24,0,NA,NA,NA,NA
1,25,8,NA,NA,NA,NA
2,6,0,35,0,37,0
2,41,0,NA,NA,NA,NA
1,32,4,NA,NA,NA,NA
2,34,0,NA,NA,NA,NA
1,21,8,54,1,75,6
2,23,3,NA,NA,NA,NA
1,0,0,19,4,22,0
1,7,1,28,10,32,8
1,5,0,21,0,NA,NA
2,2,0,33,0,41,8
1,1,0,22,0,25,5
2,25,3,47,0,NA,NA
2,2,0,25,8,28,14
1,34,8,NA,NA,NA,NA
2,3,0,32,0,39,0
1,27,5,NA,NA,NA,NA
2,16,3,47,0,NA,NA
2,34,4,NA,NA,NA,NA
2,21,6,NA,NA,NA,NA
2,2,0,31,3,32,9
1,9,4,32,0,NA,NA
2,14,6,41,0,NA,NA
1,16,4,39,0,NA,NA
1,47,7,NA,NA,NA,NA
1,9,2,24,2,NA,NA
1,18,11,35,0,37,12
2,22,0,37,0,NA,NA
2,17,3,53,2,NA,NA
1,5,0,27,0,36,3
1,23,16,51,7,57,8
1,15,10,44,9,NA,NA
1,63,0,NA,NA,NA,NA
2,6,0,46,4,53,6
2,55,0,NA,NA,NA,NA
1,0,0,30,0,34,8
2,27,5,NA,NA,NA,NA
2,25,2,NA,NA,NA,NA
2,57,0,NA,NA,NA,NA
2,30,4,NA,NA,NA,NA
2,51,0,NA,NA,NA,NA
1,52,0,NA,NA,NA,NA
2,32,3,NA,NA,NA,NA
2,1,0,26,7,NA,NA
1,30,7,NA,NA,NA,NA
1,27,0,NA,NA,NA,NA
2,18,NA,NA,NA,NA,NA
2,4,1,22,3,35,2
2,15,5,31,0,39,8
2,39,0,NA,NA,NA,NA
1,13,3,37,2,48,5
1,12,2,31,3,33,8
1,38,6,NA,NA,NA,NA
1,48,8,NA,NA,NA,NA
2,7,0,29,0,33,8
1,30,7,NA,NA,NA,NA
1,23,3,41,0,42,5
1,13,5,35,2,41,4
1,24,8,57,0,NA,NA
2,1,0,22,0,29,0
1,33,8,59,0,60,NA
2,8,1,26,5,NA,NA
1,22,7,NA,NA,NA,NA
1,47,0,NA,NA,NA,NA
2,48,3,NA,NA,NA,NA
2,32,6,NA,NA,NA,NA
1,9,2,34,16,NA,NA
2,4,0,24,9,27,0
2,0,0,21,5,34,0
1,30,0,NA,NA,NA,NA
1,27,0,NA,NA,NA,NA
2,11,5,26,0,NA,NA
1,7,0,31,6,39,9
1,7,2,27,6,31,8
2,11,2,34,0,41,0
2,10,3,32,0,35,8
1,23,2,59,0,62,6
2,15,7,31,8,NA,NA
2,6,NA,NA,NA,NA,NA
1,25,1,NA,NA,NA,NA
1,65,4,NA,NA,NA,NA
2,31,9,NA,NA,NA,NA
1,23,0,46,0,50,5
2,12,3,30,0,34,7
2,11,3,37,0,38,8
2,8,0,49,0,53,8
2,11,2,47,6,48,14
1,7,NA,NA,NA,NA,NA
1,37,0,NA,NA,NA,NA
2,8,2,58,0,NA,NA
2,16,3,46,0,52,6
1,9,1,28,0,NA,NA
1,9,1,35,0,37,0
1,2,0,32,2,48,4
1,37,0,NA,NA,NA,NA
2,55,0,NA,NA,NA,NA
2,35,8,74,4,NA,NA
2,5,0,27,1,NA,NA
2,9,2,41,0,42,5
2,1,0,23,0,27,7
1,28,0,NA,NA,NA,NA
2,49,4,NA,NA,NA,NA
2,35,0,NA,NA,NA,NA
2,26,5,NA,NA,NA,NA
1,4,0,34,0,35,0
1,16,3,41,0,49,4
2,2,0,22,1,NA,NA
2,44,0,74,0,NA,NA
2,21,1,NA,NA,NA,NA
1,10,4,27,2,NA,NA
2,5,NA,NA,NA,NA,NA
1,30,8,NA,NA,NA,NA
2,4,0,28,4,35,9
2,32,0,NA,NA,NA,NA
2,24,5,NA,NA,NA,NA
1,28,14,NA,NA,NA,NA
1,9,1,33,8,37,8
1,10,1,36,2,39,8
2,1,0,21,0,NA,NA
1,25,8,NA,NA,NA,NA
1,27,14,59,3,NA,NA
2,55,0,NA,NA,NA,NA
1,2,NA,NA,NA,NA,NA
2,9,1,24,0,30,8
1,49,0,NA,NA,NA,NA
1,46,0,NA,NA,NA,NA
1,4,0,29,4,32,8
1,5,0,26,3,30,2
1,27,6,NA,NA,NA,NA
2,9,1,47,6,48,14
1,9,2,38,0,NA,NA
2,2,0,38,0,65,0
2,21,4,NA,NA,NA,NA
2,41,0,NA,NA,NA,NA
1,18,NA,NA,NA,NA,NA
2,57,1,NA,NA,NA,NA
2,43,0,NA,NA,NA,NA
2,21,6,NA,NA,NA,NA
2,27,0,59,0,69,0
1,7,1,23,0,NA,NA
2,47,4,NA,NA,NA,NA
1,4,0,39,0,45,8
2,34,0,NA,NA,NA,NA
1,30,8,NA,NA,NA,NA
2,6,0,24,0,NA,NA
2,6,0,28,3,36,7
2,20,6,NA,NA,NA,NA
1,26,8,NA,NA,NA,NA
2,10,2,31,2,47,3
2,12,3,38,0,NA,NA
2,31,0,NA,NA,NA,NA
1,1,0,34,0,37,5
1,5,0,27,0,30,8
2,14,5,49,0,51,2
1,11,2,37,4,40,7
1,13,0,33,0,NA,NA
1,6,0,29,0,34,0
2,67,0,NA,NA,NA,NA
1,1,NA,22,0,27,0
2,3,0,27,0,28,0
2,30,0,NA,NA,NA,NA
1,39,8,NA,NA,NA,NA
2,22,1,NA,NA,NA,NA
1,16,2,52,0,NA,NA
2,6,0,40,0,NA,NA
1,43,2,62,0,NA,NA
2,7,NA,NA,NA,NA,NA
1,65,0,NA,NA,NA,NA
1,1,0,17,1,23,0
2,12,2,33,0,NA,NA
2,1,0,45,3,48,3
1,14,6,35,6,39,8
2,58,2,NA,NA,NA,NA
1,49,8,74,0,NA,NA
2,9,1,29,2,33,7
2,5,0,32,0,35,8
2,11,3,31,3,NA,NA
1,3,0,23,5,29,0
2,18,3,NA,NA,NA,NA
2,21,12,NA,NA,NA,NA
2,25,8,NA,NA,NA,NA
2,59,0,NA,NA,NA,NA
2,33,0,NA,NA,NA,NA
2,3,0,37,0,40,6
1,22,2,59,0,62,6
1,30,5,NA,NA,NA,NA
1,16,6,38,4,62,3
1,7,1,38,4,NA,NA
1,38,0,NA,NA,NA,NA
2,5,NA,40,0,42,NA
2,3,0,24,0,NA,NA
1,-2,NA,NA,NA,NA,NA
1,1,1,32,7,37,8
1,4,0,23,2,29,8
1,16,3,39,0,43,0
1,2,1,30,0,44,7
1,11,0,46,4,53,6
2,11,3,32,7,37,8
1,28,9,NA,NA,NA,NA
2,22,5,NA,NA,NA,NA
2,4,0,31,7,NA,NA
1,23,0,53,0,56,8
1,30,0,NA,NA,NA,NA
1,12,1,35,0,39,8
1,34,0,NA,NA,NA,NA
1,4,0,34,2,37,0
2,26,0,NA,NA,NA,NA
2,21,7,NA,NA,NA,NA
2,15,2,37,0,39,0
2,14,3,38,0,NA,NA
1,5,0,37,2,48,5
1,35,6,NA,NA,NA,NA
1,37,8,NA,NA,NA,NA
2,61,0,NA,NA,NA,NA
2,47,4,NA,NA,NA,NA
2,29,0,NA,NA,NA,NA
1,11,4,40,0,61,8
2,41,8,NA,NA,NA,NA
1,13,4,40,6,49,3
2,8,1,40,0,NA,NA
1,27,14,NA,NA,NA,NA
1,5,0,34,4,39,6
2,45,5,NA,NA,NA,NA
2,14,5,42,0,NA,NA
2,20,3,NA,NA,NA,NA
1,8,1,31,0,32,0
2,47,0,NA,NA,NA,NA
1,16,0,51,0,60,0
2,10,3,37,0,NA,NA
2,27,1,NA,NA,NA,NA
2,0,0,20,4,25,2
1,16,3,40,6,49,3
2,4,0,26,0,37,4
1,15,6,37,4,39,3
1,65,0,NA,NA,NA,NA
2,12,NA,NA,NA,NA,NA
2,45,0,NA,NA,NA,NA
1,4,0,23,0,31,0
1,20,5,48,3,NA,NA
1,11,3,31,6,41,6
2,26,NA,NA,NA,NA,NA
1,25,NA,NA,NA,NA,NA
2,23,8,NA,NA,NA,NA
1,28,7,47,0,NA,NA
1,31,8,NA,NA,NA,NA
2,37,0,NA,NA,NA,NA
1,14,3,41,0,40,4
1,3,NA,NA,NA,NA,NA
2,20,12,49,0,51,5
1,16,1,45,3,55,4
1,57,6,NA,NA,NA,NA
1,36,0,NA,NA,NA,NA
2,19,2,NA,NA,NA,NA
2,47,0,NA,NA,NA,NA
2,24,0,55,0,NA,NA
1,52,3,NA,NA,NA,NA
1,27,8,NA,NA,NA,NA
2,54,0,NA,NA,NA,NA
1,13,4,34,0,40,5
2,5,0,22,0,25,5
1,15,0,36,0,NA,NA
1,25,0,59,0,69,0
2,15,1,45,0,47,5
1,5,0,28,6,NA,NA
2,7,2,23,6,26,3
1,40,5,NA,NA,NA,NA
1,0,0,39,0,45,8
2,5,0,29,8,NA,NA
1,17,7,35,3,NA,NA
2,3,0,24,5,31,6
2,17,NA,NA,NA,NA,NA
2,52,8,77,0,79,0
2,1,NA,NA,NA,NA,NA
1,30,12,NA,NA,NA,NA
2,33,0,NA,NA,NA,NA
1,20,12,31,8,NA,NA
2,11,0,36,0,40,8
1,0,0,34,6,28,12
2,3,0,22,1,28,0
2,13,8,27,0,30,7
2,38,0,NA,NA,NA,NA
2,28,4,NA,NA,NA,NA
1,17,7,44,5,50,7
1,20,7,59,0,NA,NA
2,5,0,45,0,NA,NA
1,6,0,29,0,33,0
1,8,2,35,8,38,6
1,27,8,NA,NA,NA,NA
2,33,0,NA,NA,NA,NA
2,26,5,NA,NA,NA,NA
2,7,2,29,0,NA,NA
2,79,0,NA,NA,NA,NA
2,21,5,45,0,NA,NA
2,20,0,NA,NA,NA,NA
2,14,4,42,4,47,7
2,8,0,28,0,33,7
2,33,2,67,2,NA,NA
2,35,0,NA,NA,NA,NA
2,34,2,NA,NA,NA,NA
1,8,0,36,8,39,7
1,59,0,NA,NA,NA,NA
1,17,4,40,0,NA,NA
1,49,8,NA,NA,NA,NA
2,11,1,33,0,NA,NA
1,5,0,34,3,38,6
1,9,2,29,0,NA,NA
1,39,10,NA,NA,NA,NA
1,23,NA,61,0,NA,NA
2,20,4,62,0,NA,NA
2,17,7,51,3,NA,NA
1,3,0,23,0,29,6
1,2,NA,25,3,30,7
1,7,0,29,2,33,7
2,12,4,31,0,41,8
1,17,8,33,0,37,6
2,36,0,NA,NA,NA,NA
2,29,6,74,4,NA,NA
1,9,0,33,0,41,8
2,0,0,24,0,28,0
2,9,0,25,0,41,12
1,2,0,28,7,32,11
1,12,3,32,2,48,4
2,3,0,41,0,49,4
2,2,0,31,8,44,8
1,15,8,49,4,55,8
2,8,2,35,8,39,12
2,29,0,NA,NA,NA,NA
1,4,0,37,8,43,9
2,57,0,NA,NA,NA,NA
2,0,0,19,0,25,0
2,19,4,41,0,43,0
2,1,0,31,2,47,3
1,18,9,48,7,55,9
2,0,0,37,0,47,6
1,23,6,NA,NA,NA,NA
2,10,2,33,0,41,8
2,51,0,NA,NA,NA,NA
1,55,0,NA,NA,NA,NA
2,12,NA,NA,NA,NA,NA
2,37,2,NA,NA,NA,NA
1,9,1,30,0,33,5
1,9,1,26,4,NA,NA
1,3,0,26,7,NA,NA
2,8,3,32,5,NA,NA
2,12,4,32,6,NA,NA
2,5,1,36,5,38,2
1,24,9,47,0,49,0
1,8,NA,NA,NA,NA,NA
1,29,8,NA,NA,NA,NA
1,31,6,NA,NA,NA,NA
1,27,7,57,1,67,0
1,30,0,NA,NA,NA,NA
1,9,2,34,5,51,8
1,0,0,23,7,27,6
1,3,0,19,0,26,2
2,9,0,32,7,37,0
2,48,0,NA,NA,NA,NA
2,52,0,NA,NA,NA,NA
2,17,NA,NA,NA,NA,NA
2,17,2,49,0,NA,NA
1,13,3,40,0,63,6
1,18,6,55,0,NA,NA
2,11,0,32,0,NA,NA
2,10,1,30,3,39,4
1,12,5,35,0,37,12
2,4,0,24,5,30,6
2,45,0,NA,NA,NA,NA
2,13,NA,NA,NA,NA,NA
1,32,0,NA,NA,NA,NA
1,2,0,23,0,31,0
1,1,0,21,1,29,0
1,59,0,NA,NA,NA,NA
2,11,6,40,5,43,8
1,39,8,NA,NA,NA,NA
1,67,6,NA,NA,NA,NA
1,2,0,20,4,25,2
2,68,0,NA,NA,NA,NA
1,14,4,34,2,37,0
1,1,0,18,3,29,8
2,19,4,53,0,63,5
2,5,0,27,5,33,7
1,11,3,36,3,NA,NA
1,25,0,NA,NA,NA,NA
1,3,0,20,4,23,8
2,35,6,NA,NA,NA,NA
1,15,5,48,5,56,3
1,12,0,39,0,NA,NA
1,57,0,NA,NA,NA,NA
2,34,3,NA,NA,NA,NA
1,4,0,23,7,29,4
1,2,0,53,0,NA,NA
2,61,0,NA,NA,NA,NA
2,23,2,NA,NA,NA,NA
2,37,1,NA,NA,NA,NA
1,27,5,NA,NA,NA,NA
2,17,4,37,0,39,0
2,45,2,NA,NA,NA,NA
2,48,0,NA,NA,NA,NA
1,18,7,-2,4,NA,NA
2,23,4,NA,NA,NA,NA
1,21,7,39,3,40,0
2,14,3,45,2,NA,NA
2,0,0,25,0,34,5
1,20,12,34,8,38,8
1,0,0,21,6,28,7
2,5,0,25,0,NA,NA
1,1,0,31,6,39,9
2,56,6,NA,NA,NA,NA
1,5,0,33,0,36,8
2,30,0,NA,NA,NA,NA
2,32,0,NA,NA,NA,NA
1,48,8,NA,NA,NA,NA
2,11,2,37,2,48,5
2,39,8,77,0,79,0
1,12,1,35,0,39,8
1,9,2,35,0,37,8
2,40,0,NA,NA,NA,NA
2,79,0,NA,NA,NA,NA
2,4,0,42,4,47,7
2,32,0,NA,NA,NA,NA
2,50,0,NA,NA,NA,NA
1,48,0,NA,NA,NA,NA
2,41,0,NA,NA,NA,NA
2,21,7,NA,NA,NA,NA
2,8,2,45,3,48,3
1,35,7,NA,NA,NA,NA
2,3,NA,NA,NA,NA,NA
1,11,0,31,8,NA,NA
2,7,0,35,0,37,12
1,3,0,26,0,NA,NA
2,11,3,47,6,52,6
2,11,2,25,0,36,7
2,7,0,24,0,NA,NA
1,17,6,34,3,38,6
1,23,2,49,0,NA,NA
2,4,NA,NA,NA,NA,NA
2,35,0,NA,NA,NA,NA
2,54,0,NA,NA,NA,NA
1,15,0,38,0,45,8
1,9,0,30,0,35,5
2,4,0,28,0,30,7
2,3,0,29,0,NA,NA
2,13,3,35,0,38,8
2,27,4,NA,NA,NA,NA
1,0,0,34,1,43,1
2,26,0,53,0,NA,NA
1,24,0,61,0,NA,NA
2,25,0,NA,NA,NA,NA
1,5,0,44,0,NA,NA
2,12,0,45,0,48,0
1,45,0,NA,NA,NA,NA
1,10,0,31,0,43,8
2,21,0,NA,NA,NA,NA
2,27,6,NA,NA,NA,NA
1,47,6,NA,NA,NA,NA
2,34,0,NA,NA,NA,NA
1,26,5,NA,NA,NA,NA
2,12,2,36,2,39,8
2,12,2,30,0,37,0
1,2,0,32,5,NA,NA
1,21,6,45,0,NA,NA
2,8,1,35,0,39,8
2,16,7,41,0,NA,NA
2,18,0,40,0,48,8
2,41,6,NA,NA,NA,NA
2,2,0,33,8,37,8
2,35,0,NA,NA,NA,NA
1,17,1,55,0,NA,NA
2,1,0,24,3,30,8
2,1,0,21,4,25,7
1,18,NA,NA,NA,NA,NA
2,23,0,NA,NA,NA,NA
2,21,6,NA,NA,NA,NA
2,9,0,33,12,NA,NA
1,4,0,25,7,29,8
1,30,6,NA,NA,NA,NA
1,10,3,29,5,33,8
1,5,0,24,5,30,6
2,7,1,29,0,38,7
2,53,0,NA,NA,NA,NA
2,35,0,NA,NA,NA,NA
2,51,3,NA,NA,NA,NA
2,5,0,23,8,27,8
1,13,4,39,4,NA,NA
1,4,0,35,0,37,0
1,39,7,NA,NA,NA,NA
2,29,2,NA,NA,NA,NA
2,20,0,40,0,42,NA
1,26,4,NA,NA,NA,NA
2,17,0,37,0,NA,NA
2,1,0,24,0,28,5
2,11,2,36,8,39,7
2,26,4,NA,NA,NA,NA
2,13,3,34,0,37,6
2,43,0,59,0,60,NA
1,30,7,NA,NA,NA,NA
1,8,NA,24,0,26,4
1,20,4,59,3,NA,NA
1,5,0,26,4,NA,NA
1,29,0,NA,NA,NA,NA
2,13,NA,NA,NA,NA,NA
1,21,4,49,5,NA,NA
1,28,6,61,0,NA,NA
1,19,7,35,0,NA,NA
1,13,NA,NA,NA,NA,NA
2,30,0,NA,NA,NA,NA
1,14,0,36,0,NA,NA
2,9,1,53,2,62,0
2,29,0,NA,NA,NA,NA
1,30,7,NA,NA,NA,NA
2,12,4,27,5,33,8
2,53,4,NA,NA,NA,NA
2,34,0,NA,NA,NA,NA
2,10,2,29,4,33,12
1,34,4,NA,NA,NA,NA
1,4,0,25,8,NA,NA
1,16,NA,NA,NA,NA,NA
2,0,0,27,6,31,0
2,16,0,40,0,48,8
2,27,3,NA,NA,NA,NA
2,49,4,NA,NA,NA,NA
1,26,7,NA,NA,NA,NA
1,21,4,40,8,47,8
1,27,11,NA,NA,NA,NA
2,9,1,30,2,39,7
2,8,0,31,0,36,0
2,21,0,NA,NA,NA,NA
1,6,1,25,7,NA,NA
2,66,0,NA,NA,NA,NA
2,66,0,NA,NA,NA,NA
1,10,1,32,0,NA,NA
2,0,0,20,6,NA,NA
1,0,0,21,0,NA,NA
1,28,4,NA,NA,NA,NA
2,39,0,NA,NA,NA,NA
1,21,1,53,3,57,5
1,5,0,28,10,32,8
2,2,0,24,0,28,0
2,18,8,63,3,73,8
1,25,0,NA,NA,NA,NA
2,0,0,22,2,27,4
2,1,0,29,0,NA,NA
2,10,3,33,0,NA,NA
1,6,0,29,0,34,8
1,1,0,31,0,34,8
2,7,0,25,0,30,6
2,15,4,43,0,50,5
2,1,0,36,0,NA,NA
2,13,4,30,0,34,8
1,29,7,NA,NA,NA,NA
1,22,4,53,2,62,0
1,9,2,28,10,32,8
2,1,0,23,2,NA,NA
2,18,4,44,7,46,11
1,49,0,NA,NA,NA,NA
2,20,6,NA,NA,NA,NA
1,67,5,NA,NA,NA,NA
1,8,0,45,0,48,0
2,24,0,NA,NA,NA,NA
2,39,0,NA,NA,NA,NA
1,12,0,34,1,43,1
2,52,0,NA,NA,NA,NA
1,29,8,NA,NA,NA,NA
2,6,1,50,3,51,5
1,10,NA,33,6,39,0
1,18,4,50,3,NA,NA
2,55,0,NA,NA,NA,NA
1,28,8,NA,NA,NA,NA
2,43,9,NA,NA,NA,NA
2,5,0,25,2,28,6
2,49,1,NA,NA,NA,NA
1,36,3,NA,NA,NA,NA
1,15,6,33,0,41,8
2,7,1,33,8,37,8
2,5,0,30,0,33,5
1,38,6,NA,NA,NA,NA
2,87,4,NA,NA,NA,NA
2,26,7,NA,NA,NA,NA
1,14,2,58,0,63,4
1,10,0,25,5,30,6
2,29,3,NA,NA,NA,NA
2,2,0,22,3,39,10
1,14,NA,33,0,38,0
2,31,8,NA,NA,NA,NA
1,3,0,25,0,36,7
2,37,0,77,0,79,0
2,36,5,NA,NA,NA,NA
2,3,0,24,0,NA,NA
2,59,3,NA,NA,NA,NA
1,15,5,41,0,45,8
1,19,0,35,0,NA,NA
1,12,0,33,0,36,0
2,67,0,NA,NA,NA,NA
2,11,4,28,7,32,11
2,42,2,NA,NA,NA,NA
1,33,4,NA,NA,NA,NA
1,30,0,NA,NA,NA,NA
1,8,1,35,0,38,8
1,3,0,32,0,NA,NA
1,17,7,34,4,39,6
1,29,NA,NA,NA,NA,NA
1,33,8,NA,NA,NA,NA
2,31,0,NA,NA,NA,NA
2,35,0,NA,NA,NA,NA
2,4,0,30,0,37,0
1,15,NA,NA,NA,NA,NA
2,18,7,NA,NA,NA,NA
2,13,0,34,3,38,6
1,3,NA,NA,NA,NA,NA
1,19,4,49,0,NA,NA
2,8,2,27,0,NA,NA
1,18,NA,NA,NA,NA,NA
2,38,0,NA,NA,NA,NA
1,0,0,25,3,NA,NA
2,27,2,NA,NA,NA,NA
2,13,4,24,1,33,8
2,9,2,32,7,35,6
2,47,0,NA,NA,NA,NA
1,16,7,37,8,51,9
1,0,0,20,4,23,7
1,25,3,45,0,47,5
