"mainsub","relathh","male","age","hhgardsize","agem","gardsizem"
1,6,1,8,1,35,1
1,6,1,18,2,58,2
1,5,2,1,3,42,3
1,6,1,5,1.5,37,1.5
1,2,2,23,5.5,53,2
4,1,1,26,NA,NA,NA
1,6,1,3,1.5,23,1.5
1,6,1,2,4,29,4
1,2,2,49,4,71,1
1,5,2,0,1.5,25,1.5
1,6,1,10,2,33,2
1,1,2,63,4,NA,NA
1,1,1,40,3.5,60,6.5
1,8,1,18,5,NA,NA
1,6,1,7,3,46,3
1,1,2,31,5,NA,NA
1,1,1,26,2,NA,NA
2,6,1,3,NA,24,NA
1,1,1,29,1,NA,NA
1,1,1,23,4,NA,NA
1,6,1,13,2,40,2
1,1,2,26,1,NA,NA
1,1,1,34,2,NA,NA
1,5,2,3,3.25,31,3.25
1,5,2,19,2,53,2
1,6,1,1,3,18,3
8,18,1,7,NA,NA,NA
1,6,1,2,5,21,5
1,6,1,3,2,23,2
3,1,1,25,NA,NA,NA
1,17,2,5,1,NA,NA
1,2,2,49,4,NA,NA
3,1,1,33,NA,NA,NA
1,6,1,3,2,NA,NA
1,6,1,3,2,21,2
1,5,2,4,4,23,4
7,1,2,18,NA,NA,NA
1,5,2,14,3,46,3
1,6,1,16,5,35,5
1,2,2,21,1.25,NA,NA
6,1,1,38,3,NA,NA
1,2,2,48,2.5,NA,NA
1,6,1,0,2,21,2
1,6,1,14,2,37,2
4,1,1,49,1,NA,NA
1,5,2,10,1,31,1
1,6,1,15,3.25,47,3.25
1,6,1,5,2,23,2
1,6,1,12,1,31,1
1,1,1,28,0.5,NA,NA
1,23,2,17,4.5,NA,NA
1,5,2,20,2,41,2
1,5,2,6,2,31,2
1,5,2,7,2,41,2
1,2,2,31,1,60,4.5
4,2,2,28,NA,NA,NA
2,1,1,38,NA,NA,NA
1,2,2,31,4,NA,NA
1,2,2,39,6,NA,NA
1,1,2,44,2.5,NA,NA
1,2,2,54,4,NA,NA
1,6,1,1,2,23,2
1,5,2,8,1.5,37,1.5
1,1,1,24,2.5,NA,NA
1,5,2,18,2,42,2
1,5,2,9,2,47,2
1,56,1,7,3,NA,NA
1,1,2,50,2,NA,NA
1,1,2,55,2,NA,NA
1,1,1,33,3.5,NA,NA
1,5,2,11,2.5,29,2.5
1,9,2,8,2,NA,NA
1,1,1,26,1,NA,NA
1,5,2,2,3,24,3
1,9,2,11,3,NA,NA
1,1,1,33,4.5,NA,NA
1,6,1,13,2,48,2
1,6,1,3,2,26,2
1,5,2,5,1.5,33,1.5
1,6,1,9,2.75,33,2.75
1,6,1,10,3,32,3
1,6,1,19,5,55,5
1,5,2,4,2,27,2
1,5,2,1,2,24,2
1,2,2,17,2,NA,NA
1,6,1,13,3,48,3
1,5,2,10,2,26,2
1,1,1,29,1.5,NA,NA
1,1,1,36,2,NA,NA
1,2,2,45,1.5,NA,NA
6,6,1,7,3,27,3
6,2,2,27,2,53,3.5
5,1,1,29,NA,NA,NA
1,5,2,3,4,25,4
1,37,1,25,2,NA,NA
1,2,2,31,2,NA,NA
1,1,2,22,1,NA,NA
1,2,2,21,2,45,3
1,1,2,47,3,NA,NA
1,6,1,7,5.5,33,5.5
1,6,1,7,3.5,23,3.5
4,5,2,18,NA,40,NA
1,5,2,15,1,37,1
1,6,1,8,5.5,32,5.5
6,6,1,3,NA,23,NA
1,1,1,60,2.5,NA,NA
1,2,2,18,2,NA,NA
1,6,1,7,1.5,26,1.5
1,2,2,21,2.5,NA,NA
1,5,2,4,3,33,3
1,5,2,15,1.5,43,1.5
1,5,2,16,2,51,2
4,6,1,16,NA,39,NA
1,6,1,5,2.5,38,2.5
1,5,2,3,3,42,3
1,1,2,49,2,NA,NA
1,2,2,37,3,NA,NA
1,6,1,3,1.5,24,1.5
1,6,1,15,2,36,2
1,6,1,10,2.5,27,2.5
1,6,1,5,3,30,3
1,7,2,9,2,NA,NA
1,1,2,57,1,NA,NA
1,5,2,10,4,29,4
1,1,1,36,3.75,NA,NA
1,6,1,13,3,48,3
1,6,1,1,4,30,4
3,1,1,25,NA,NA,NA
1,6,1,13,2,45,2
1,6,1,6,7,37,7
1,5,2,14,2,32,2
1,6,1,1,1.5,26,1.5
1,2,2,23,3.5,NA,NA
1,6,1,3,2,29,2
1,5,2,12,2.5,46,2.5
1,6,1,23,2,48,2
1,2,2,17,2,NA,NA
1,1,2,21,4,NA,NA
4,1,2,29,NA,NA,NA
1,5,2,0,3,41,3
1,5,2,8,2.5,27,2.5
1,2,2,23,3,NA,NA
4,5,2,14,NA,40,NA
1,2,2,23,4,NA,NA
1,1,2,32,2,NA,NA
1,5,2,1,4,27,4
1,6,1,13,1,43,1
1,2,2,34,2,49,2
1,6,1,2,2,25,2
1,6,1,7,4.5,29,4.5
1,6,1,1,2,25,2
1,2,2,18,3,NA,NA
1,6,1,13,1,37,1
1,34,2,12,3.5,37,3.5
1,1,1,38,2,NA,NA
1,6,1,7,2,25,2
1,1,2,25,1.5,NA,NA
1,1,1,57,6,NA,NA
1,6,1,3,1,20,1
1,5,2,10,4,43,4
1,2,2,52,3,NA,NA
1,6,1,11,2,32,2
1,2,2,33,3.5,55,2
1,1,1,22,2,NA,NA
6,47,1,25,18,NA,NA
1,5,2,0,3,21,3
1,6,1,4,2,45,2
1,6,1,10,2,29,2
1,2,2,49,1.5,NA,NA
1,6,1,4,2,22,2
1,2,2,69,1,NA,NA
1,2,2,35,2.5,NA,NA
1,6,1,15,3,35,3
2,5,2,1,NA,33,NA
1,2,2,58,2,NA,NA
1,1,1,40,2,NA,NA
1,1,1,76,3,NA,NA
1,1,1,35,2,NA,NA
1,1,1,35,1,NA,NA
1,2,2,38,4,NA,NA
8,1,2,36,NA,53,3
1,1,1,25,5,NA,NA
1,5,2,8,2,25,2
1,5,2,18,2,41,2
3,1,1,37,NA,NA,NA
1,5,2,16,4,36,4
1,5,2,13,2,53,2
1,2,2,21,2,NA,NA
1,5,2,13,3,44,3
1,2,2,20,2,50,1.5
1,1,1,65,4,NA,NA
1,1,1,32,2.5,NA,NA
1,1,1,57,2.5,NA,NA
1,1,2,37,3,NA,NA
1,2,2,21,1,NA,NA
1,1,2,48,4,NA,NA
1,1,1,67,1,NA,NA
1,17,2,13,7,NA,NA
1,1,1,18,0.5,NA,NA
1,6,1,10,4,32,4
1,2,2,39,2,NA,NA
1,2,2,30,1,NA,NA
1,1,2,34,2,NA,NA
1,5,2,42,5,77,5
1,6,1,1,1.5,33,1.5
1,6,1,7,3,27,3
1,1,2,24,2,NA,NA
1,2,2,20,4,NA,NA
1,6,1,10,2,41,2
1,1,1,29,3,NA,NA
1,1,2,65,7,NA,NA
1,1,1,30,3.5,NA,NA
1,1,1,64,3.5,NA,NA
1,1,2,23,2,49,2
1,5,2,3,1,24,1
1,2,2,23,2,NA,NA
1,5,2,0,1,16,1
1,1,1,30,2,NA,NA
1,18,1,17,3,NA,NA
1,34,2,8,3,41,3
1,5,2,12,2,33,2
1,2,2,19,2,25,NA
1,6,1,5,0.5,36,0.5
1,1,2,21,1,NA,NA
1,1,1,61,6.5,NA,NA
1,5,2,8,2,35,2
1,2,2,23,2,NA,NA
5,6,1,16,1,37,1
6,2,2,31,NA,NA,NA
1,17,2,11,2,17,1
1,6,1,12,6,44,6
1,6,1,1,2,20,2
1,6,1,14,4,48,4
7,1,2,34,NA,NA,NA
1,2,2,32,3,-2,5
1,6,1,10,2,43,2
1,1,1,30,3,NA,NA
1,5,2,3,5,31,5
1,6,1,19,2,51,2
1,5,2,5,2,31,2
1,2,2,25,5.5,NA,NA
1,5,2,5,2,27,2
1,5,2,7,2,27,2
1,6,1,9,1.5,37,1.5
1,6,1,5,1,23,1
1,6,1,21,4.5,63,4.5
1,1,1,29,2,NA,NA
1,6,1,10,1.5,NA,NA
1,1,1,70,5,NA,NA
1,5,2,3,2,29,2
1,1,1,47,3,NA,NA
1,1,2,49,6,NA,NA
1,1,1,27,2.5,NA,NA
1,6,1,5,3,42,3
1,1,1,41,3.5,NA,NA
1,6,1,10,3,55,3
1,5,2,0,2.5,46,2.5
1,6,1,2,3,25,3
1,6,1,10,1.5,28,1.5
1,5,2,2,1,35,1
1,6,1,7,2,22,2
1,5,2,19,1,51,1
1,5,2,5,4,36,4
1,5,2,7,2,25,2
1,5,2,6,2.5,29,2.5
1,5,2,29,1,55,1
3,1,1,25,NA,NA,NA
1,35,1,13,2,37,2
1,2,2,26,1,NA,NA
1,34,2,14,4,38,4
1,6,1,15,2,36,2
1,2,2,60,6,NA,NA
1,6,1,10,2,27,2
1,6,1,20,2,48,2
1,5,2,7,1,24,1
4,1,2,25,NA,NA,NA
1,1,1,28,1.5,NA,NA
1,1,2,57,4,NA,NA
1,10,1,10,1,NA,NA
1,5,2,1,2,30,2
1,6,1,4,2,25,2
1,1,1,41,2,NA,NA
3,6,1,7,NA,34,NA
1,6,1,0,2,27,2
3,2,2,21,NA,NA,NA
1,1,1,32,2.5,NA,NA
4,1,2,20,NA,NA,NA
1,2,2,19,2,NA,NA
1,1,1,60,2,NA,NA
1,2,2,31,4,NA,NA
1,2,2,25,1,NA,NA
1,6,1,19,3,52,3
1,9,2,7,1,NA,NA
1,17,2,10,1,NA,NA
6,6,1,15,1.5,44,1.5
1,17,2,14,1,NA,NA
1,6,1,2,1,23,1
1,6,1,10,2,41,2
3,6,1,14,NA,NA,NA
1,6,1,16,3,40,3
1,6,1,14,2.5,45,2.5
1,6,1,9,2.5,26,2.5
1,5,2,16,3,45,3
1,6,1,20,2,54,2
6,5,2,7,3.5,29,3.5
1,2,2,25,2.5,37,3
1,5,2,1,1,24,1
1,6,1,2,1,37,1
1,5,2,2,2,25,2
1,5,2,0,1.5,20,1.5
1,1,1,51,1.5,NA,NA
1,1,2,20,2,NA,NA
1,2,2,23,4,NA,NA
1,5,2,6,2,25,2
1,6,1,17,2,65,2
1,2,2,32,0.5,NA,NA
1,2,2,27,2.5,NA,NA
1,6,1,12,5,35,5
1,2,2,37,3,68,0.5
1,2,2,23,1.5,NA,NA
1,1,2,35,2,NA,NA
1,2,2,22,2.5,NA,NA
1,1,2,40,2,NA,NA
1,1,1,27,4,NA,NA
1,6,1,0,1,21,1
1,1,1,40,4,NA,NA
4,1,2,33,NA,NA,NA
1,1,1,27,2,NA,NA
3,1,1,23,NA,NA,NA
1,18,1,13,2,NA,NA
1,5,2,1,1,18,1
1,5,2,13,1.5,38,1.5
1,5,2,12,4.5,30,4.5
1,1,1,72,2,NA,NA
1,6,1,23,3,51,3
1,2,2,19,3,NA,NA
1,5,2,0,6,33,6
1,2,2,34,2,NA,NA
1,6,1,9,1,24,1
1,2,2,39,1,NA,NA
1,6,1,12,2,34,2
1,2,2,24,1,NA,NA
1,5,2,11,2,35,2
1,1,2,20,1.5,NA,NA
1,1,2,33,1.5,62,1
1,5,2,12,3,29,3
1,1,1,71,2.5,NA,NA
1,5,2,2,1,17,1
1,5,2,10,1.5,34,1.5
1,5,2,19,4.5,38,4.5
4,6,1,9,NA,28,NA
1,1,1,22,1.5,NA,NA
1,1,1,57,3,NA,NA
1,6,1,3,2,20,2
1,6,1,18,2,54,2
1,6,1,20,2,47,2
1,1,2,52,1.5,NA,NA
1,6,1,18,3,47,3
1,6,1,5,2,24,2
1,1,1,32,2,NA,NA
1,2,2,54,2,NA,NA
1,6,1,3,2,19,2
1,2,2,31,3,NA,NA
1,5,2,11,2,33,2
1,1,2,22,1.5,NA,NA
1,6,1,19,2,75,2
1,2,2,53,3.5,NA,NA
7,6,1,17,NA,35,NA
1,5,2,5,1.5,33,1.5
1,1,1,57,3,NA,NA
1,1,2,27,2,NA,NA
1,5,2,5,1,39,1
1,5,2,5,4,36,4
1,18,1,2,3,NA,NA
1,35,1,14,3,36,3
1,5,2,6,4,29,4
1,5,2,9,6,33,6
1,5,2,5,2,30,2
1,6,1,20,2.5,55,2.5
1,1,1,46,6,NA,NA
1,6,1,16,2,51,2
3,6,1,2,NA,20,NA
1,1,2,17,1,50,1.5
1,1,1,30,2,NA,NA
4,5,2,4,NA,35,NA
3,2,2,25,NA,NA,NA
1,5,2,2,2,25,2
1,6,1,18,3.5,40,3.5
1,34,2,13,5,52,5
1,1,1,25,1.5,NA,NA
1,5,2,27,4,57,4
1,1,2,34,2,NA,NA
1,5,2,2,2.5,27,2.5
1,6,1,14,2.5,32,2.5
4,2,2,25,NA,NA,NA
1,5,2,1,4,23,4
1,5,2,20,4,45,4
1,6,1,1,2,29,2
1,5,2,3,2,36,2
1,5,2,9,2.5,38,2.5
1,2,2,29,2,NA,NA
1,1,2,36,5,67,NA
1,2,2,57,2.5,NA,NA
1,5,2,17,4.5,45,4.5
1,54,1,6,2,NA,NA
1,2,2,36,2,NA,NA
1,1,1,59,1.5,NA,NA
1,1,2,26,1.5,NA,NA
1,6,1,0,2,30,2
1,5,2,2,2,45,2
1,2,2,24,1.5,45,7
1,2,2,45,2,79,2
1,1,1,27,1,NA,NA
1,5,2,5,2,34,2
1,5,2,1,3.5,42,3.5
1,6,1,11,1.5,29,1.5
1,6,1,10,4,26,4
1,5,2,14,2.5,42,2.5
1,1,2,28,1,NA,NA
1,6,1,4,2,25,2
1,1,2,32,2,59,2
1,6,1,8,4,35,4
1,1,1,26,2,NA,NA
1,6,1,7,5,41,5
1,2,2,20,1.5,NA,NA
1,5,2,4,4.5,29,4.5
6,6,1,14,NA,49,NA
1,8,1,22,2,NA,NA
1,6,1,13,4,NA,NA
1,6,1,3,2.5,24,2.5
1,6,1,2,3.5,32,3.5
1,6,1,10,2.5,31,2.5
1,1,2,87,2,NA,NA
1,6,1,15,1.5,39,1.5
1,5,2,16,3,41,3
1,5,2,24,2,54,2
1,5,2,6,4,33,4
1,6,1,8,8,52,8
1,17,2,4,1.5,35,2
1,2,2,19,2,NA,NA
1,5,2,16,2,48,2
1,6,1,5,3.5,37,3.5
1,1,2,36,4,NA,NA
NA,2,2,29,NA,74,1.5
1,5,2,9,3,33,3
1,2,2,58,2,NA,NA
1,5,2,15,3,40,3
1,1,2,27,2,NA,NA
1,23,2,28,4.5,NA,NA
6,5,2,3,10,35,10
1,5,2,2,4,26,4
1,1,2,58,3,NA,NA
1,5,2,0,3,24,3
1,2,2,37,3.5,NA,NA
1,5,2,8,4,NA,NA
1,5,2,5,5.5,23,5.5
1,6,1,30,2,61,2
1,1,2,74,4.5,NA,NA
1,6,1,14,2,33,2
1,2,2,47,1,NA,NA
1,5,2,15,2,37,2
1,1,2,53,3,NA,NA
1,18,1,7,3,NA,NA
1,6,1,27,2,51,2
1,2,2,46,8,NA,NA
1,10,1,14,3,NA,NA
1,5,2,3,1.5,33,1.5
1,5,2,23,4.5,45,4.5
1,6,1,14,15,48,15
1,6,1,7,1,31,1
1,6,1,12,1,35,1
1,2,2,24,3,NA,NA
1,6,1,7,1.5,21,1.5
1,2,2,25,3.5,NA,NA
1,6,1,1,1,21,1
1,5,2,1,2,21,2
1,6,1,10,1.5,33,1.5
5,6,1,0,NA,20,NA
2,6,1,17,4,33,4
1,6,1,4,2,45,2
5,2,2,22,NA,NA,NA
1,5,2,7,2,53,2
1,6,1,2,3,29,3
1,5,2,8,2,35,2
2,5,2,4,4.5,31,4.5
1,1,2,32,3,NA,NA
4,1,1,26,NA,NA,NA
1,2,2,38,4.5,NA,NA
1,5,2,17,2,49,2
1,5,2,3,2,27,2
1,6,1,2,1,21,1
1,5,2,2,2,18,2
1,1,2,60,1,NA,NA
1,5,2,3,4,23,4
1,5,2,7,3,30,3
1,6,1,3,4,28,4
1,6,1,15,5,34,5
6,5,2,10,3.5,29,3.5
1,6,1,5,2,33,2
1,5,2,5,2.5,31,2.5
3,6,1,16,NA,34,NA
1,6,1,27,3,53,3
1,1,1,35,1.5,NA,NA
1,1,1,24,2,NA,NA
1,1,1,44,2,NA,NA
1,6,1,5,3.5,32,3.5
7,5,2,1,NA,26,NA
1,1,2,42,2,NA,NA
1,18,1,-2,1,NA,NA
1,1,2,76,2,NA,NA
1,2,2,32,1.5,NA,NA
1,34,2,12,3,41,3
1,1,2,30,2,NA,NA
1,2,2,22,3.5,58,3
1,2,2,20,1.5,NA,NA
1,6,1,26,2,52,2
1,5,2,20,8,45,8
1,5,2,5,5,24,5
1,5,2,0,2.5,23,2.5
1,2,2,67,0.5,NA,NA
6,2,2,25,1.5,NA,NA
1,2,2,30,1.5,NA,NA
1,2,2,16,2,NA,NA
1,1,2,61,1,NA,NA
1,1,2,81,1,NA,NA
1,5,2,10,1,39,1
1,6,1,3,1.5,25,1.5
1,5,2,10,2,35,2
1,2,2,67,1,NA,NA
1,5,2,10,2,31,2
1,1,1,46,1.5,NA,NA
1,5,2,7,3,22,3
1,6,1,0,1.5,35,1.5
1,1,1,39,2,NA,NA
1,1,2,51,1.5,NA,NA
1,6,1,23,2,59,2
1,5,2,10,4,30,4
1,5,2,20,3,51,3
1,2,2,58,3,NA,NA
1,6,1,8,2,39,2
1,2,2,21,1.5,NA,NA
1,5,2,8,2,28,2
1,6,1,9,2,41,2
1,1,1,30,2,NA,NA
1,5,2,18,6.5,55,6.5
1,2,2,37,3.5,NA,NA
1,6,1,15,2,36,2
1,2,2,21,2,NA,NA
1,6,1,15,2.5,44,2.5
1,5,2,8,3,40,3
1,5,2,9,2,29,2
1,5,2,14,2,40,2
4,1,1,33,NA,NA,NA
1,5,2,8,2.5,39,2.5
1,5,2,6,3.5,40,3.5
1,6,1,8,3.75,25,3.75
4,47,2,12,NA,NA,NA
1,10,1,10,2,NA,NA
1,6,1,3,1,26,1
1,1,1,38,4,NA,NA
1,6,1,8,2,32,2
1,1,1,24,2,NA,NA
1,5,2,16,6,44,6
1,6,1,13,0.5,NA,NA
1,5,2,2,2,23,2
1,5,2,13,1,35,1
1,9,2,11,1,NA,NA
1,6,1,13,1.5,37,1.5
6,5,2,8,NA,30,NA
1,5,2,0,4,22,4
1,34,2,16,3,41,3
1,2,2,43,4,59,4
1,5,2,0,2,25,2
1,5,2,11,1,28,1
1,1,1,52,2,NA,NA
1,1,1,30,1,NA,NA
1,6,1,4,1.5,39,1.5
1,6,1,4,4,41,4
1,2,2,25,2,45,7
1,6,1,21,2,49,2
1,5,2,2,2.5,22,2.5
1,6,1,1,3.25,31,3.25
1,1,2,57,4,NA,NA
1,5,2,1,2,29,2
1,6,1,9,1.5,33,1.5
7,1,2,30,NA,NA,NA
1,1,1,49,3,NA,NA
1,2,2,21,2,NA,NA
1,1,1,37,2,NA,NA
4,6,1,10,1,36,1
1,1,1,33,3,NA,NA
1,6,1,17,2,40,2
1,6,1,1,2,25,2
1,6,1,5,2,29,2
1,5,2,0,6.5,45,6.5
7,5,2,10,NA,34,NA
4,1,2,49,NA,NA,NA
1,2,2,39,5,NA,NA
4,6,1,10,NA,26,NA
1,5,2,6,3,24,3
1,2,2,35,3,NA,NA
1,1,1,28,2,NA,NA
5,1,1,25,NA,NA,NA
1,1,1,27,2,NA,NA
1,2,2,29,2,55,2
1,5,2,20,3,40,3
1,6,1,3,2,26,2
1,5,2,2,1.5,36,1.5
4,6,1,12,2,35,2
1,2,2,59,4,NA,NA
4,17,2,15,NA,NA,NA
1,6,1,15,4,NA,NA
1,5,2,18,1,43,1
1,6,1,7,2,36,2
1,2,2,27,2,NA,NA
1,6,1,10,3,33,3
1,5,2,3,2,25,2
1,6,1,7,2,45,2
1,1,1,51,3,NA,NA
1,6,1,16,4,28,4
1,1,2,55,2,NA,NA
1,1,1,-2,1,NA,NA
1,5,2,15,2,58,2
1,5,2,13,5,34,5
1,6,1,3,1.5,37,1.5
1,6,1,12,2,32,2
1,6,1,12,4,31,4
1,5,2,6,1,24,1
1,5,2,13,1.5,29,1.5
1,1,1,33,5,NA,NA
1,1,1,60,3,NA,NA
1,6,1,17,4,62,4
1,1,1,36,4,NA,NA
1,6,1,3,2,40,2
1,6,1,9,2,31,2
1,6,1,21,2,48,2
1,1,2,35,4.5,NA,NA
1,1,1,36,2,NA,NA
1,1,1,30,1.5,NA,NA
1,1,1,60,2,NA,NA
1,5,2,14,4,36,4
1,6,1,6,2,47,2
1,5,2,4,1,26,1
1,1,2,37,3,NA,NA
1,5,2,10,1.5,30,1.5
1,2,2,23,4,NA,NA
1,1,1,48,3,NA,NA
1,5,2,2,1,24,1
1,5,2,2,2,22,2
1,5,2,3,1.5,23,1.5
1,5,2,11,3.5,NA,NA
1,1,1,37,2,NA,NA
1,5,2,3,1,NA,NA
1,1,1,33,4.5,NA,NA
1,2,2,32,2,NA,NA
1,6,1,4,2.5,25,2.5
1,6,1,14,3.5,33,3.5
1,5,2,5,2.75,33,2.75
1,6,1,25,4.5,48,4.5
1,5,2,8,2,39,2
1,2,2,55,1,NA,NA
1,1,1,49,1,NA,NA
1,6,1,17,3,37,3
1,2,2,27,1,NA,NA
1,1,1,29,1,NA,NA
1,6,1,21,1.5,58,1.5
1,1,2,28,1,NA,NA
1,2,2,21,2,NA,NA
1,1,1,43,4,NA,NA
1,1,1,43,3,NA,NA
1,2,2,33,1,NA,NA
1,1,1,28,1.5,NA,NA
1,1,1,26,1.5,NA,NA
1,5,2,4,2,23,2
1,1,2,16,1,44,2.5
1,2,2,34,2,NA,NA
1,6,1,15,3.5,37,3.5
1,2,2,35,5,NA,NA
1,2,2,69,4,NA,NA
1,5,2,12,3,32,3
1,2,2,21,2,NA,NA
1,6,1,13,3,52,3
1,21,2,6,3.5,NA,NA
1,1,2,25,2,NA,NA
1,6,1,12,4,35,4
1,1,1,24,4,NA,NA
1,2,2,35,1,74,1.5
1,5,2,15,5,34,5
1,5,2,4,3,28,3
1,2,2,35,2,74,1.5
1,35,1,14,6.5,45,6.5
1,5,2,11,2.5,35,2.5
1,5,2,12,3,32,3
1,6,1,7,2.5,44,2.5
1,18,1,15,2,NA,NA
1,1,1,53,3.5,NA,NA
1,1,2,54,1,NA,NA
1,2,2,23,2,NA,NA
1,5,2,11,4,36,4
1,1,1,43,1.5,62,4
6,6,1,7,NA,31,NA
1,2,2,25,2,47,1.5
1,6,1,14,2,45,2
1,6,1,11,5,31,5
1,5,2,6,2,27,2
1,1,2,42,2,NA,NA
1,2,2,31,1,53,3.5
1,1,2,58,0.5,NA,NA
1,2,2,22,1.5,NA,NA
1,1,2,45,4.5,NA,NA
1,2,2,33,2,NA,NA
1,1,1,20,1,NA,NA
1,2,2,50,1.5,NA,NA
1,6,1,16,5,57,5
1,6,1,22,6,56,6
1,1,1,25,2,NA,NA
1,5,2,3,3,33,3
1,1,1,35,2,NA,NA
1,2,2,29,2,NA,NA
1,1,1,27,2,NA,NA
1,2,2,19,2,NA,NA
1,5,2,10,1,46,1
1,5,2,7,2,39,2
1,5,2,29,4,69,4
1,5,2,3,1.5,25,1.5
3,2,2,34,4,NA,NA
1,2,2,19,2.5,NA,NA
1,5,2,8,4,28,4
1,35,1,15,3,47,3
1,5,2,0,2,22,2
1,2,2,59,1.5,NA,NA
1,6,1,0,3,41,3
1,5,2,16,2,35,2
1,6,1,3,1,37,1
1,1,2,57,4,NA,NA
1,2,2,45,2,NA,NA
2,5,2,0,2,34,2
1,1,2,33,2,NA,NA
1,6,1,3,2,20,2
1,6,1,3,1,19,1
1,5,2,13,2.5,NA,NA
1,6,1,5,1,26,1
1,1,2,32,3,NA,NA
1,1,2,63,3,NA,NA
1,2,2,65,1,NA,NA
1,5,2,14,6,44,6
1,2,2,44,6,NA,NA
1,34,2,7,2,37,2
1,5,2,5,3,22,3
1,34,2,12,2,36,2
1,5,2,15,3,45,3
1,1,2,39,1,NA,NA
1,1,1,39,2,NA,NA
1,6,1,12,3,37,3
1,5,2,20,3,43,3
1,5,2,12,3,35,3
1,6,1,1,2.5,22,2.5
1,6,1,2,3,24,3
1,5,2,9,5,31,5
1,5,2,14,4,49,4
1,2,2,24,1.5,NA,NA
1,1,2,21,1,NA,NA
1,6,1,6,1.5,NA,NA
1,6,1,13,1.5,37,1.5
1,2,2,33,2,58,3.5
1,6,1,1,2,20,2
1,5,2,12,2,27,2
1,6,1,3,3,22,3
1,1,2,59,3,NA,NA
1,5,2,29,2,56,2
1,17,2,17,3,NA,NA
1,5,2,4,2,34,2
1,2,2,51,2,68,2
1,5,2,3,4,23,4
1,6,1,8,3,25,3
1,6,1,1,4,21,4
1,2,2,20,2,NA,NA
1,5,2,7,4,23,4
1,2,2,21,1.5,NA,NA
1,1,1,43,5,NA,NA
1,2,2,22,3.5,41,2
1,1,2,68,2,NA,NA
1,5,2,17,1,29,1
1,1,1,28,2,NA,NA
