"id","age","sex","livestock","fid","agef","livestockf"
"x5ko6",27.5,"d",NA,"bzp0e",52.5,66
"s09qn",42.5,"s",6,"og452",67.5,20.3999996185303
"udq4x",47.5,"d",11,"zmnh4",72.5,65.5999984741211
"dihmk",22.5,"d",NA,"cxsso",47.5,50.2000007629395
"ct2l2",42.5,"d",15,"cs37j",72.5,61.7999992370605
"w8gn4",17.5,"d",NA,"ij4r2",57.5,77.1999969482422
"i8sqb",27.5,"d",NA,"bhaks",52.5,234.800003051758
"v4rek",37.5,"d",6,"gh0kj",67.5,66.5
"npu9y",27.5,"s",100,"rrzmd",62.5,275.399993896484
"jomzn",47.5,"s",NA,"rrzmd",62.5,275.399993896484
"purrg",27.5,"d",NA,"bhaks",52.5,234.800003051758
"m1k5a",57.5,"d",NA,"c3ztr",77.5,25.6000003814697
"wf3t7",57.5,"d",NA,"c7e2l",77.5,249
"kg805",32.5,"d",25,"ij4r2",57.5,77.1999969482422
"aovdj",22.5,"s",11,"bzp0e",52.5,66
"x0bb7",52.5,"s",9,"nszsd",72.5,116.800003051758
"gz3d2",22.5,"d",NA,"bzp0e",52.5,66
"xtkj9",22.5,"s",7,"gz5tt",72.5,64.6999969482422
"lek5i",17.5,"s",7,"bsq2f",37.5,13.5
"ir1ij",32.5,"d",NA,"t0esr",67.5,100.400001525879
"cxaj7",42.5,"s",10,"gh0kj",67.5,66.5
"w1r4h",32.5,"s",80,"xa858",57.5,276.399993896484
"zv3l4",22.5,"d",3,"i54xq",47.5,22.2000007629395
"isafo",17.5,"d",NA,"b7ofy",47.5,22
"dbzz4",47.5,"s",14,"xh37n",67.5,34.5
"mechb",37.5,"d",25,"zwnva",72.5,499.200012207031
"va5a0",32.5,"s",10,"stdmm",57.5,11.3999996185303
"b9w4z",27.5,"s",20,"gz5tt",72.5,64.6999969482422
"waasy",37.5,"d",NA,"t0esr",67.5,100.400001525879
"z6mff",17.5,"s",2,"e17h0",67.5,63.4000015258789
"bc9ql",47.5,"s",10,"xh37n",67.5,34.5
"lznp6",27.5,"s",10,"a9883",42.5,11.1999998092651
"bfyh6",47.5,"s",1,"t40eg",82.5,8.39999961853027
"v08y8",37.5,"d",NA,"osq6k",62.5,33.2999992370605
"mvasg",42.5,"d",NA,"ekvcl",67.5,102.099998474121
"rtvlf",52.5,"d",12,"e2swg",72.5,96.5999984741211
"eidn9",22.5,"s",12,"zwnva",72.5,499.200012207031
"i7y1g",42.5,"s",4,"zmnh4",72.5,65.5999984741211
"b7not",47.5,"d",NA,"zmnh4",72.5,65.5999984741211
"ub2ba",32.5,"s",2,"stdmm",57.5,11.3999996185303
"bvxzt",22.5,"d",7,"a9883",42.5,11.1999998092651
"r78nc",32.5,"s",17,"jauaw",62.5,147.5
"ky6iy",42.5,"s",100,"mfg36",62.5,168.600006103516
"oo2gz",22.5,"s",NA,"gh0kj",67.5,66.5
"ggbc1",32.5,"s",19,"zwnva",72.5,499.200012207031
"hxns4",32.5,"s",9,"jkua7",42.5,16.3999996185303
"hwcnr",27.5,"s",20,"rsh3b",57.5,43.4000015258789
"ox28s",17.5,"d",NA,"zwnva",72.5,499.200012207031
"lwx5r",47.5,"s",17,"gz5tt",72.5,64.6999969482422
"y98lv",42.5,"s",NA,"rrzmd",62.5,275.399993896484
"u7821",27.5,"s",7,"him0j",67.5,19
"c1yp5",22.5,"d",4,"jtw3m",42.5,39.4000015258789
"id5io",32.5,"s",12,"gh0kj",67.5,66.5
"dbfw5",27.5,"s",13,"i9p6g",47.5,105.199996948242
"y8eve",57.5,"d",NA,"zmnh4",72.5,65.5999984741211
"d9l8t",17.5,"d",NA,"cxsso",47.5,50.2000007629395
"s40nq",22.5,"d",NA,"i54xq",47.5,22.2000007629395
"b0cpj",17.5,"s",4,"ofagd",57.5,38
"fkrgt",52.5,"s",26,"t40eg",82.5,8.39999961853027
"q8z47",27.5,"d",29,"bzp0e",52.5,66
"pr5p3",42.5,"s",21.2999992370605,"ekvcl",67.5,102.099998474121
"xoogj",17.5,"s",0.5,"n0l98",37.5,3.70000004768372
"h6s4q",52.5,"d",NA,"nszsd",72.5,116.800003051758
"a96wz",32.5,"d",1,"elcev",62.5,13.8999996185303
"l130c",42.5,"d",NA,"xh37n",67.5,34.5
"gwlzq",32.5,"s",18,"bolzd",52.5,115
"rhjcb",22.5,"d",NA,"bhaks",52.5,234.800003051758
"yc4go",22.5,"d",NA,"bhaks",52.5,234.800003051758
"gjwo1",17.5,"d",NA,"gh0kj",67.5,66.5
"emces",32.5,"d",12,"mkdc1",57.5,44
"kxop8",22.5,"s",7,"him0j",67.5,19
"sl4h1",52.5,"d",NA,"gz5tt",72.5,64.6999969482422
"fhgqh",27.5,"s",9,"olhyl",47.5,25.2000007629395
"cgjhf",22.5,"d",20,"pjblp",47.5,88
"eem4q",22.5,"d",NA,"ij4r2",57.5,77.1999969482422
"omez2",22.5,"d",NA,"pjblp",47.5,88
"d8n68",42.5,"d",NA,"e17h0",67.5,63.4000015258789
"tsyi4",22.5,"s",20,"bhaks",52.5,234.800003051758
"semp7",27.5,"s",14,"elcev",62.5,13.8999996185303
"kgo2t",22.5,"d",NA,"b7ofy",47.5,22
"tp9oy",42.5,"d",NA,"ekvcl",67.5,102.099998474121
"d6mz5",57.5,"d",NA,"gz5tt",72.5,64.6999969482422
"hw9r1",32.5,"d",10,"rsh3b",57.5,43.4000015258789
"h4jma",22.5,"s",0.5,"gh0kj",67.5,66.5
"jf6q4",47.5,"d",12,"gz5tt",72.5,64.6999969482422
"jhm64",22.5,"d",NA,"a9883",42.5,11.1999998092651
"ujudy",52.5,"d",NA,"zmnh4",72.5,65.5999984741211
"q8ay8",42.5,"d",21.2999992370605,"ekvcl",67.5,102.099998474121
"re2o5",27.5,"d",8,"xh37n",67.5,34.5
"l4jo3",17.5,"s",5,"prbsj",42.5,15.6999998092651
"nae1d",27.5,"d",30,"bhaks",52.5,234.800003051758
"dtwgi",17.5,"s",4,"b7ofy",47.5,22
"swel8",52.5,"s",20,"zmnh4",72.5,65.5999984741211
"tdt7g",37.5,"d",NA,"bhaks",52.5,234.800003051758
"ino7a",42.5,"s",8,"e17h0",67.5,63.4000015258789
"i44b8",42.5,"d",7,"gh0kj",67.5,66.5
"i2wp0",47.5,"d",8,"nszsd",72.5,116.800003051758
"hfe4o",37.5,"d",NA,"xh37n",67.5,34.5
"b2320",22.5,"s",5,"zwnva",72.5,499.200012207031
"wqyad",42.5,"d",NA,"xh37n",67.5,34.5
"kjv3w",42.5,"s",12.3999996185303,"t0esr",67.5,100.400001525879
"k34ai",32.5,"s",0.5,"elcev",62.5,13.8999996185303
"xczxl",42.5,"d",5,"gz5tt",72.5,64.6999969482422
"eeolu",22.5,"s",17,"jtw3m",42.5,39.4000015258789
"k2q03",27.5,"d",18,"cxsso",47.5,50.2000007629395
"czatg",17.5,"s",30,"mfg36",62.5,168.600006103516
"fjrek",52.5,"s",30,"gz5tt",72.5,64.6999969482422
"ucgm6",27.5,"s",4,"nszsd",72.5,116.800003051758
"s3fak",17.5,"s",24,"gz5tt",72.5,64.6999969482422
"tgobq",22.5,"d",NA,"bhaks",52.5,234.800003051758
"n9x0l",47.5,"s",7,"c3ztr",77.5,25.6000003814697
"b432p",32.5,"s",12,"cs37j",72.5,61.7999992370605
"milme",27.5,"d",NA,"i9p6g",47.5,105.199996948242
"kbumm",17.5,"s",1,"xb90n",42.5,0.5
"jjpo4",27.5,"d",NA,"e17h0",67.5,63.4000015258789
"wr1ko",27.5,"s",9,"xh37n",67.5,34.5
"e4lo1",22.5,"s",2,"qi939",47.5,2.70000004768372
"v9ud0",47.5,"d",NA,"nszsd",72.5,116.800003051758
"offnu",32.5,"s",12,"rsh3b",57.5,43.4000015258789
"e2eyh",17.5,"s",16.1000003814697,"kw245",37.5,37
"jk59g",17.5,"d",NA,"bhaks",52.5,234.800003051758
"hvvcx",22.5,"s",4,"cjd9x",37.5,16.2000007629395
"huysu",22.5,"s",4,"vo53y",42.5,14.1999998092651
"pyvk8",42.5,"d",NA,"t0esr",67.5,100.400001525879
"kwoeg",27.5,"d",26,"xa858",57.5,276.399993896484
"lwjnv",47.5,"d",34.9000015258789,"t0esr",67.5,100.400001525879
"r446t",37.5,"d",NA,"him0j",67.5,19
"g9e8m",22.5,"s",NA,"n0l98",37.5,3.70000004768372
"tmy9r",27.5,"d",NA,"bhaks",52.5,234.800003051758
"l54dx",32.5,"s",NA,"rrzmd",62.5,275.399993896484
"lz3df",17.5,"d",NA,"gh0kj",67.5,66.5
"bhchj",27.5,"s",2,"qi939",47.5,2.70000004768372
"m26re",37.5,"d",11,"ij4r2",57.5,77.1999969482422
"okcni",37.5,"d",70,"c7e2l",77.5,249
"ynn1r",32.5,"s",8,"jkua7",42.5,16.3999996185303
"eucje",42.5,"d",NA,"c7e2l",77.5,249
"ijlhs",22.5,"s",10,"uxm5x",37.5,34.9000015258789
"a9qgg",52.5,"d",NA,"c3ztr",77.5,25.6000003814697
"l9qze",22.5,"s",20,"bolzd",52.5,115
"vsu6j",27.5,"d",NA,"b7ofy",47.5,22
"jyrcv",32.5,"d",NA,"e17h0",67.5,63.4000015258789
"kg1hf",27.5,"s",10,"wr1vm",52.5,13.5
"ogzvl",17.5,"s",4,"c3ztr",77.5,25.6000003814697
"nn380",27,"s",25,"cs37j",72.5,61.7999992370605
"y194t",32.5,"s",24,"mkdc1",57.5,44
"zccfp",17.5,"s",4,"him0j",67.5,19
"fng27",27.5,"d",10,"e17h0",67.5,63.4000015258789
"vrus1",32.5,"d",NA,"qi939",47.5,2.70000004768372
"ubqni",52.5,"s",24,"t40eg",82.5,8.39999961853027
"oblqm",17.5,"s",3,"i1ogn",37.5,12.3999996185303
"e7n4r",22.5,"s",6,"ofagd",57.5,38
"btlgw",27.5,"d",0.5,"i9p6g",47.5,105.199996948242
"o9kiw",27.5,"s",10,"i54xq",47.5,22.2000007629395
"z8cfg",27,"s",20,"cs37j",72.5,61.7999992370605
"szzsx",32.5,"d",20,"y69kv",62.5,51.9000015258789
"iku8b",47.5,"s",0.5,"t40eg",82.5,8.39999961853027
"bpk2p",32.5,"s",10,"him0j",67.5,19
"lz4qp",22.5,"s",NA,"n0l98",37.5,3.70000004768372
"gb6bt",22.5,"d",22.7000007629395,"t0esr",67.5,100.400001525879
"g0vr2",32.5,"s",4,"e17h0",67.5,63.4000015258789
"r8qgd",47.5,"s",16,"e17h0",67.5,63.4000015258789
"q7pav",32.5,"d",8,"c3ztr",77.5,25.6000003814697
"pddbt",32.5,"s",16,"dex7o",52.5,75.6999969482422
"u0b4w",42.5,"d",NA,"t0esr",67.5,100.400001525879
"wcrfs",22.5,"s",3,"osq6k",62.5,33.2999992370605
"lkyt7",22.5,"d",8,"xa858",57.5,276.399993896484
"e6hxu",17.5,"s",0.5,"xh37n",67.5,34.5
"czjzi",27.5,"s",10,"wa0e3",47.5,66.8000030517578
"fonb0",32.5,"d",4,"him0j",67.5,19
"ijsud",17.5,"s",1,"lrrmx",42.5,7
"ll67f",17.5,"d",8,"e17h0",67.5,63.4000015258789
"z8mjv",22.5,"s",3,"c3ztr",77.5,25.6000003814697
"mnhlm",52.5,"d",NA,"c3ztr",77.5,25.6000003814697
"zf9xo",42.5,"s",140,"c7e2l",77.5,249
"tx469",17.5,"s",1,"c3ztr",77.5,25.6000003814697
"fr2ck",52.5,"s",14,"e2swg",72.5,96.5999984741211
"xey5n",17.5,"d",NA,"pjblp",47.5,88
"jpj8l",32.5,"s",3,"og452",67.5,20.3999996185303
"uguaq",57.5,"d",NA,"nszsd",72.5,116.800003051758
"s4nut",27.5,"s",20,"mfg36",62.5,168.600006103516
"mdw2l",17.5,"d",7,"kw245",37.5,37
"yhpzy",27.5,"d",NA,"bzp0e",52.5,66
"lq2kx",27.5,"d",2,"osq6k",62.5,33.2999992370605
"yg3yf",27.5,"s",12,"ofagd",57.5,38
"vzdvl",37.5,"d",NA,"c7e2l",77.5,249
"miybw",27.5,"s",16,"xa858",57.5,276.399993896484
"qm5nc",37.5,"d",12,"ekvcl",67.5,102.099998474121
"qxg0f",52.5,"d",NA,"gz5tt",72.5,64.6999969482422
"qhqkc",22.5,"d",NA,"kw245",37.5,37
"lf1yh",32.5,"s",5,"mkdc1",57.5,44
"irj1q",22.5,"s",4,"stdmm",57.5,11.3999996185303
"a1ofy",32.5,"s",4,"c3ztr",77.5,25.6000003814697
"qwox7",32.5,"d",NA,"bzp0e",52.5,66
"auewg",17.5,"s",3,"him0j",67.5,19
"acrii",22.5,"d",6,"b7ofy",47.5,22
"qzyo5",22.5,"d",NA,"i9p6g",47.5,105.199996948242
"zimhe",27.5,"d",4,"qi939",47.5,2.70000004768372
"diqem",37.5,"d",34.9000015258789,"t0esr",67.5,100.400001525879
"rfnrp",42.5,"s",8,"zmnh4",72.5,65.5999984741211
"hcfgf",37.5,"d",NA,"ekvcl",67.5,102.099998474121
"hnk2o",22.5,"s",10,"osq6k",62.5,33.2999992370605
