"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"gz7zi",0,31,NA,8,10,2,"dzg2c",87,2,60,45,21,FALSE
"ck406",0,36,NA,6,12,5,"uudcs",78,1,45,20,16,FALSE
"egctx",0,34,2,8,12,5,"vjk8z",92,3,75,100,29,FALSE
"tn67o",1,44,2,16,3,5,"zgl66",71,2,35,30,24,FALSE
"z9ll0",1,31,1,17,17,4,"hi02h",84,4,150,300,41,FALSE
"hej7p",0,54,1,10,20,11,"sp0dp",76,1,45,20,9,FALSE
"y1u2z",1,53,NA,10,4,7,"sp0dp",76,1,45,20,9,FALSE
"l2qlh",0,41,1,30,20,10,"z68w8",79,1,30,32,20,FALSE
"a6fqi",1,40,NA,15,13,3,"heo0y",68,3,125,160,26,FALSE
"wl2ex",0,45,NA,8,14,8,"j9eh9",74,0,30,33,13,FALSE
"yrq3o",0,75,NA,9,12,5,NA,NA,NA,NA,NA,NA,TRUE
"k2clo",1,13,NA,NA,NA,NA,"heo0y",68,3,125,160,26,FALSE
"d6i6k",1,55,NA,10,10,9,NA,NA,NA,NA,NA,NA,FALSE
"oo2nw",0,30,NA,10,18,6,NA,NA,NA,NA,NA,NA,FALSE
"ci15q",1,55,1,30,7,9,"mdy6x",85,3,110,100,32,FALSE
"afc6c",1,51,NA,5,6,9,"j9eh9",74,0,30,33,13,FALSE
"eafa5",1,51,NA,2,2,1,"uudcs",78,1,45,20,16,FALSE
"hptun",1,39,NA,5,4,9,"z68w8",79,1,30,32,20,FALSE
"fod74",1,34,NA,8,10,5,NA,NA,NA,NA,NA,NA,FALSE
"t4jvl",1,33,NA,18,5,4,NA,NA,NA,NA,NA,NA,FALSE
"ccke5",1,50,NA,10,4,6,"sp0dp",76,1,45,20,9,FALSE
"zhj7e",1,35,NA,6,8,5,"qz761",66,1,40,25,10,FALSE
"qnfci",0,39,NA,10,18,6,"ycewa",73,0,10,15,11,FALSE
"isljq",0,30,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"auxil",0,39,NA,6,6,6,"j9eh9",74,0,30,33,13,FALSE
"aokok",1,45,NA,9,7,8,"ls6vw",84,3,70,90,24,FALSE
"kzxro",0,38,NA,NA,NA,NA,"heo0y",68,3,125,160,26,FALSE
"sbhcl",1,39,1,10,15,6,NA,NA,NA,NA,NA,NA,FALSE
"hyihm",1,46,1,6,5,8,"dzg2c",87,2,60,45,21,FALSE
"dlwua",0,33,NA,12,6,2,"ycewa",73,0,10,15,11,FALSE
"dishz",1,78,1,45,20,16,NA,NA,NA,NA,NA,NA,TRUE
"negnz",0,23,NA,NA,NA,NA,"uudcs",78,1,45,20,16,FALSE
"ct5lc",1,68,3,125,160,26,NA,NA,NA,NA,NA,NA,TRUE
"ppzwu",0,33,NA,10,20,6,"uudcs",78,1,45,20,16,FALSE
"lrv3n",0,21,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"iqyf6",0,21,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"kxj2j",1,85,0,55,70,21,NA,NA,NA,NA,NA,NA,TRUE
"g38p1",1,58,2,45,52,14,NA,NA,NA,NA,NA,NA,TRUE
"gipug",1,73,3,95,120,12,NA,NA,NA,NA,NA,NA,TRUE
"sob03",1,78,3,100,100,23,NA,NA,NA,NA,NA,NA,FALSE
"d5e94",1,87,2,60,45,21,NA,NA,NA,NA,NA,NA,TRUE
"zzhgj",1,34,NA,2,2,9,NA,NA,NA,NA,NA,NA,FALSE
"uqx0a",1,44,NA,11,7,9,"vjk8z",92,3,75,100,29,FALSE
"zzfs2",1,47,NA,38,7,9,NA,NA,NA,NA,NA,NA,FALSE
"lbhhq",0,53,NA,NA,NA,NA,"pdszl",83,0,20,20,14,FALSE
"u16ks",1,42,NA,4,5,6,NA,NA,NA,NA,NA,NA,FALSE
"vx5oj",1,38,NA,2,5,10,"sigh5",85,0,55,70,21,FALSE
"p7uia",1,49,NA,4,4,5,"z68w8",79,1,30,32,20,FALSE
"yq3dv",0,48,NA,5,5,8,NA,NA,NA,NA,NA,NA,FALSE
"i4fbo",1,35,0,30,11,6,"lnlna",75,3,100,50,17,FALSE
"uyk1g",1,40,NA,5,5,1,"sigh5",85,0,55,70,21,FALSE
"xrq4w",1,63,3,35,31,21,NA,NA,NA,NA,NA,NA,TRUE
"lu3il",1,47,NA,4,4,14,"z68w8",79,1,30,32,20,FALSE
"ocb9l",1,43,NA,9,8,8,"uaf9m",80,1,60,55,14,FALSE
"hk5fk",0,34,NA,10,4,5,"lnlna",75,3,100,50,17,FALSE
"ayh5t",0,53,1,20,16,9,"uaf9m",80,1,60,55,14,FALSE
"f6j70",1,38,NA,10,10,7,NA,NA,NA,NA,NA,NA,FALSE
"xtjvh",1,14,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"okka7",1,31,NA,6,5,7,NA,NA,NA,NA,NA,NA,FALSE
"fcdzb",1,44,NA,3,2,2,"uudcs",78,1,45,20,16,FALSE
"ekidf",1,51,NA,5,4,12,"nux05",77,1,35,30,14,FALSE
"nwba6",1,67,1,20,14,13,"fiaob",93,2,70,150,25,FALSE
"buwvj",0,73,1,13,5,6,NA,NA,NA,NA,NA,NA,FALSE
"apem6",0,37,1,12,10,6,"lnlna",75,3,100,50,17,FALSE
"z9d0q",0,22,NA,NA,NA,NA,"uaf9m",80,1,60,55,14,FALSE
"plvvv",1,51,2,35,19,20,"fiaob",93,2,70,150,25,FALSE
"su2uv",1,33,NA,6,5,3,"uudcs",78,1,45,20,16,FALSE
"u89gl",1,42,1,20,7,8,"mdy6x",85,3,110,100,32,FALSE
"y0q5c",0,44,NA,6,13,10,NA,NA,NA,NA,NA,NA,FALSE
"xddi5",0,53,NA,5,4,4,NA,NA,NA,NA,NA,NA,FALSE
"o2bjq",0,47,NA,12,6,2,"ycewa",73,0,10,15,11,FALSE
"vht6h",0,31,2,14,16,2,"mi8au",90,2,110,160,31,FALSE
"gfp3h",0,36,1,17,12,7,NA,NA,NA,NA,NA,NA,FALSE
"esjvu",0,46,NA,12,20,8,"sp0dp",76,1,45,20,9,FALSE
"rru7e",1,36,NA,6,8,7,"qz761",66,1,40,25,10,FALSE
"l0jyr",1,92,3,75,100,29,NA,NA,NA,NA,NA,NA,TRUE
"g2z11",0,37,1,24,16,8,"mi8au",90,2,110,160,31,FALSE
"hoitv",0,20,NA,NA,NA,NA,"heo0y",68,3,125,160,26,FALSE
"ay1r1",1,33,NA,1,2,6,"zxfs0",90,1,12,20,23,FALSE
"qkjqb",0,17,NA,NA,NA,NA,"zxfs0",90,1,12,20,23,FALSE
"rb37i",1,32,NA,NA,NA,NA,"ntlb9",73,0,35,20,22,FALSE
"hch93",0,32,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"s4642",1,40,0,6,4,6,"nux05",77,1,35,30,14,FALSE
"lianh",1,34,NA,9,11,4,"mi8au",90,2,110,160,31,FALSE
"ndpfv",0,60,0,6,6,4,"dzg2c",87,2,60,45,21,FALSE
"f119g",0,27,NA,NA,NA,NA,"zgl66",71,2,35,30,24,FALSE
"r4582",1,52,2,17,6,6,"uaf9m",80,1,60,55,14,FALSE
"mqa90",1,56,0,17,9,10,"mi8au",90,2,110,160,31,FALSE
"rgrd1",0,36,NA,14,8,4,"vjk8z",92,3,75,100,29,FALSE
"hexsk",0,33,NA,2,12,1,"zxfs0",90,1,12,20,23,FALSE
"b8unn",1,59,NA,35,20,23,NA,NA,NA,NA,NA,NA,FALSE
"eomt9",0,31,NA,14,24,7,"hi02h",84,4,150,300,41,FALSE
"j802d",1,33,NA,1,2,3,"zxfs0",90,1,12,20,23,FALSE
"q3mfd",1,55,NA,1,7,7,"ls6vw",84,3,70,90,24,FALSE
"b14zt",1,45,NA,1,2,8,"wmcef",79,0,20,45,23,FALSE
"i5z7r",1,61,NA,47,25,17,NA,NA,NA,NA,NA,NA,FALSE
"t5etk",0,44,0,12,6,4,"zxfs0",90,1,12,20,23,FALSE
"em587",0,59,NA,6,6,5,"pdszl",83,0,20,20,14,FALSE
"m3u5v",1,46,0,8,3,7,"zgl66",71,2,35,30,24,FALSE
"bwq8h",1,40,1,9,17,3,"hi02h",84,4,150,300,41,FALSE
"lg9bf",0,42,NA,6,6,6,"lnlna",75,3,100,50,17,FALSE
"cmx2v",1,41,NA,4,3,9,"zgl66",71,2,35,30,24,FALSE
"vs0s9",0,30,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"sy7jq",1,36,0,17,6,7,NA,NA,NA,NA,NA,NA,FALSE
"t398p",0,34,NA,4,2,1,"sigh5",85,0,55,70,21,FALSE
"anm6u",1,39,0,30,7,5,"mdy6x",85,3,110,100,32,FALSE
"ciu6s",0,13,NA,NA,NA,NA,"mi8au",90,2,110,160,31,FALSE
"jil2d",0,15,NA,NA,NA,NA,"heo0y",68,3,125,160,26,FALSE
"ikzz5",0,34,1,25,20,9,NA,NA,NA,NA,NA,NA,FALSE
"qhl33",1,41,NA,14,15,7,"yareh",73,3,95,120,12,FALSE
"hjvcy",1,34,NA,10,6,4,"zgl66",71,2,35,30,24,FALSE
"qjt3x",0,33,NA,NA,NA,NA,"ycewa",73,0,10,15,11,FALSE
"jgcja",1,36,2,9,3,9,NA,NA,NA,NA,NA,NA,FALSE
"ymorw",1,23,NA,NA,NA,NA,"dzg2c",87,2,60,45,21,FALSE
"mioc3",0,35,NA,2,4,4,"wmcef",79,0,20,45,23,FALSE
"vv8t3",0,42,NA,7,7,9,NA,NA,NA,NA,NA,NA,FALSE
"rl6x4",1,35,NA,4,5,7,"dzg2c",87,2,60,45,21,FALSE
"houvx",1,54,2,13,7,3,"ls6vw",84,3,70,90,24,FALSE
"jeu13",0,39,NA,6,8,4,"qz761",66,1,40,25,10,FALSE
"j5flz",1,51,0,12,7,6,"vjk8z",92,3,75,100,29,FALSE
"z21ln",1,56,0,9,17,9,"hi02h",84,4,150,300,41,FALSE
"lp7wf",0,33,NA,8,6,5,"uaf9m",80,1,60,55,14,FALSE
"xvxmd",0,53,NA,12,8,7,"mi8au",90,2,110,160,31,FALSE
"kua90",1,40,NA,7,7,6,"ls6vw",84,3,70,90,24,FALSE
"pxk7m",0,44,NA,10,8,8,"mdy6x",85,3,110,100,32,FALSE
"e6j2n",1,46,NA,9,3,2,"pdszl",83,0,20,20,14,FALSE
"ss8kw",1,49,NA,1,6,6,"j9eh9",74,0,30,33,13,FALSE
"upedz",1,90,2,110,160,31,NA,NA,NA,NA,NA,NA,TRUE
"nzk0v",1,45,NA,9,3,10,"pdszl",83,0,20,20,14,FALSE
"jhmvj",1,83,NA,45,25,32,NA,NA,NA,NA,NA,NA,FALSE
"mg2ay",0,42,NA,NA,NA,NA,"ntlb9",73,0,35,20,22,FALSE
"dsh2k",0,45,1,10,14,8,"l3oln",72,0,25,10,6,FALSE
"tal2r",0,37,NA,NA,NA,NA,"z68w8",79,1,30,32,20,FALSE
"n3h9b",1,38,NA,3,3,4,"uudcs",78,1,45,20,16,FALSE
"fevw8",1,59,NA,14,15,5,"fiaob",93,2,70,150,25,FALSE
"wspv1",0,36,NA,NA,NA,NA,"sigh5",85,0,55,70,21,FALSE
"s2grb",0,29,NA,NA,NA,NA,"ls6vw",84,3,70,90,24,FALSE
"apf0p",0,18,NA,NA,NA,NA,"lnlna",75,3,100,50,17,FALSE
"m09ut",1,35,NA,1,5,3,"sigh5",85,0,55,70,21,FALSE
"rrji3",1,65,NA,10,15,22,NA,NA,NA,NA,NA,NA,TRUE
"cp9n2",0,30,NA,2,4,3,"mi8au",90,2,110,160,31,FALSE
"hfh83",1,45,0,11,10,7,"mi8au",90,2,110,160,31,FALSE
"atd77",0,44,0,10,10,8,"ycewa",73,0,10,15,11,FALSE
"f8d6t",1,44,NA,12,6,9,NA,NA,NA,NA,NA,NA,FALSE
"pf3xj",0,34,0,10,18,6,"yareh",73,3,95,120,12,FALSE
"ml9b8",0,45,1,16,12,9,"heo0y",68,3,125,160,26,FALSE
"pdgw5",1,17,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"mioyp",1,33,NA,10,13,8,"heo0y",68,3,125,160,26,FALSE
"m53h5",1,54,NA,12,3,9,"pdszl",83,0,20,20,14,FALSE
"blqwp",1,38,NA,8,7,5,NA,NA,NA,NA,NA,NA,FALSE
"lt9ze",1,56,NA,13,4,3,"sp0dp",76,1,45,20,9,FALSE
"nb8be",0,33,NA,4,10,5,"ntlb9",73,0,35,20,22,FALSE
"xvlzg",1,48,2,65,11,13,"lnlna",75,3,100,50,17,FALSE
"r7621",1,39,NA,3,3,2,"zgl66",71,2,35,30,24,FALSE
"txmzz",1,74,0,30,33,13,NA,NA,NA,NA,NA,NA,TRUE
"f70de",0,31,2,16,20,8,"hi02h",84,4,150,300,41,FALSE
"bx3gl",1,53,NA,12,7,18,NA,NA,NA,NA,NA,NA,FALSE
"u0y3i",0,76,NA,7,13,2,NA,NA,NA,NA,NA,NA,TRUE
"sz16u",0,44,NA,NA,NA,NA,"j9eh9",74,0,30,33,13,FALSE
"dxim0",0,42,NA,NA,NA,NA,"ntlb9",73,0,35,20,22,FALSE
"a5pcv",1,33,NA,15,5,5,"l3oln",72,0,25,10,6,FALSE
"w82cm",1,48,2,30,13,11,"heo0y",68,3,125,160,26,FALSE
"h4246",1,61,1,15,17,21,"hi02h",84,4,150,300,41,FALSE
"gqwjk",1,46,NA,1,3,2,"ycewa",73,0,10,15,11,FALSE
"lxbwp",0,30,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"k99zy",1,32,NA,1,3,6,"ntlb9",73,0,35,20,22,FALSE
"e8nju",1,21,NA,NA,NA,NA,"ntlb9",73,0,35,20,22,FALSE
"i3hqs",1,33,NA,9,6,11,NA,NA,NA,NA,NA,NA,FALSE
"jm23e",0,21,NA,NA,NA,NA,"zgl66",71,2,35,30,24,FALSE
"ey4su",0,27,NA,NA,NA,NA,"ycewa",73,0,10,15,11,FALSE
"ad3ih",0,37,NA,10,10,6,"vjk8z",92,3,75,100,29,FALSE
"rlldq",1,47,NA,2,6,7,NA,NA,NA,NA,NA,NA,FALSE
"wh44x",0,40,NA,NA,NA,NA,"mi8au",90,2,110,160,31,FALSE
"s38g3",0,32,NA,6,6,4,"l3oln",72,0,25,10,6,FALSE
"hibay",1,34,NA,15,11,3,"lnlna",75,3,100,50,17,FALSE
"n0ne9",1,31,NA,2,10,4,"zxfs0",90,1,12,20,23,FALSE
"wo9qu",1,38,NA,10,6,6,"qz761",66,1,40,25,10,FALSE
"y4qwu",0,50,NA,NA,NA,NA,"vjk8z",92,3,75,100,29,FALSE
"r6hmg",1,32,1,9,3,3,"wmcef",79,0,20,45,23,FALSE
"m1mp9",1,53,NA,14,5,9,"sigh5",85,0,55,70,21,FALSE
"i2urd",1,55,2,12,10,7,"mi8au",90,2,110,160,31,FALSE
"vx4lx",0,46,2,18,14,7,"vjk8z",92,3,75,100,29,FALSE
"xxxe4",1,33,NA,2,4,4,"z68w8",79,1,30,32,20,FALSE
"tekq2",0,35,NA,NA,NA,NA,"sp0dp",76,1,45,20,9,FALSE
"vqsoe",0,17,NA,NA,NA,NA,"sigh5",85,0,55,70,21,FALSE
"yfv2p",0,46,NA,4,8,5,"lnlna",75,3,100,50,17,FALSE
"ep20c",1,84,3,70,90,24,NA,NA,NA,NA,NA,NA,TRUE
"pbbsh",1,40,1,9,5,3,"dzg2c",87,2,60,45,21,FALSE
"l1u7t",1,32,NA,14,13,4,"heo0y",68,3,125,160,26,FALSE
"b1r93",1,80,1,60,55,14,NA,NA,NA,NA,NA,NA,TRUE
"xzmq9",1,38,NA,15,11,4,"lnlna",75,3,100,50,17,FALSE
"ojfyp",0,57,NA,6,6,8,"fiaob",93,2,70,150,25,FALSE
"d0ufy",1,34,NA,7,4,8,NA,NA,NA,NA,NA,NA,FALSE
"jzmz2",0,66,0,4,24,6,NA,NA,NA,NA,NA,NA,TRUE
"csxlm",1,37,NA,11,15,7,"yareh",73,3,95,120,12,FALSE
"fmre9",1,41,NA,4,5,9,"sigh5",85,0,55,70,21,FALSE
"leo1w",0,35,NA,NA,NA,NA,"z68w8",79,1,30,32,20,FALSE
"roo6p",1,31,NA,17,10,3,"l3oln",72,0,25,10,6,FALSE
"h8k8n",1,63,1,15,7,20,"mi8au",90,2,110,160,31,FALSE
"p7cmk",1,43,NA,3,2,4,"zxfs0",90,1,12,20,23,FALSE
"qhm92",0,30,NA,20,24,2,"hi02h",84,4,150,300,41,FALSE
"sqnjz",1,41,NA,1,2,5,"zxfs0",90,1,12,20,23,FALSE
"locum",0,50,NA,4,16,9,"ls6vw",84,3,70,90,24,FALSE
"g53ce",1,48,NA,5,3,4,"ntlb9",73,0,35,20,22,FALSE
"f6kte",1,30,NA,10,6,4,NA,NA,NA,NA,NA,NA,FALSE
"kgjvd",0,40,NA,4,4,5,"l3oln",72,0,25,10,6,FALSE
"rkhqt",1,45,NA,5,3,12,"ntlb9",73,0,35,20,22,FALSE
"x6k72",1,45,NA,7,7,4,NA,NA,NA,NA,NA,NA,FALSE
"e31cg",0,34,NA,2,4,4,"dzg2c",87,2,60,45,21,FALSE
"pe981",1,79,0,20,45,23,NA,NA,NA,NA,NA,NA,TRUE
"ai6ul",0,32,NA,12,6,3,"yareh",73,3,95,120,12,FALSE
"z29wp",1,45,NA,15,7,7,"uaf9m",80,1,60,55,14,FALSE
"idi2k",1,38,0,6,9,7,"uaf9m",80,1,60,55,14,FALSE
"q1aq6",1,32,0,10,10,2,"qz761",66,1,40,25,10,FALSE
"cph2g",0,51,1,16,26,9,"sp0dp",76,1,45,20,9,FALSE
"t2u8v",0,37,NA,4,2,5,"pdszl",83,0,20,20,14,FALSE
"ag98o",1,76,1,45,20,9,NA,NA,NA,NA,NA,NA,TRUE
"logcx",0,46,1,8,8,9,"j9eh9",74,0,30,33,13,FALSE
"ufquu",1,47,NA,2,10,5,"mi8au",90,2,110,160,31,FALSE
"jwfkl",0,43,NA,4,14,7,"wmcef",79,0,20,45,23,FALSE
"u1hcg",0,64,NA,5,18,8,NA,NA,NA,NA,NA,NA,TRUE
"m7tgo",0,81,NA,1,2,6,NA,NA,NA,NA,NA,NA,TRUE
"rtrer",0,59,NA,8,35,9,NA,NA,NA,NA,NA,NA,FALSE
"vw5li",1,61,1,16,7,12,"vjk8z",92,3,75,100,29,FALSE
"rbc7n",1,33,NA,8,8,6,NA,NA,NA,NA,NA,NA,FALSE
"qf472",1,41,NA,2,2,9,"wmcef",79,0,20,45,23,FALSE
"ibhpo",1,47,NA,25,7,12,"mdy6x",85,3,110,100,32,FALSE
"maanh",0,26,NA,NA,NA,NA,"dzg2c",87,2,60,45,21,FALSE
"x7p37",0,21,NA,NA,NA,NA,"vjk8z",92,3,75,100,29,FALSE
"xfw33",0,46,1,14,12,7,"fiaob",93,2,70,150,25,FALSE
"k8faj",0,28,NA,NA,NA,NA,"mdy6x",85,3,110,100,32,FALSE
"sud7s",1,58,0,12,17,13,"hi02h",84,4,150,300,41,FALSE
"q2ubw",0,70,3,10,10,7,NA,NA,NA,NA,NA,NA,TRUE
"br9qc",1,79,1,30,32,20,NA,NA,NA,NA,NA,NA,TRUE
"q6zfb",1,34,NA,4,11,8,"mi8au",90,2,110,160,31,FALSE
