"id","male","age","rs","fid","agef","rsf","mid","agem","rsm"
"l47di",0,48.4000015258789,3,NA,NA,NA,NA,NA,NA
"yaark",1,55.4599990844727,4,NA,NA,NA,NA,NA,NA
"hsw4s",0,50.0900001525879,2,NA,NA,NA,NA,NA,NA
"i6fu9",1,54.1500015258789,6,NA,NA,NA,NA,NA,NA
"uaaeq",0,31.4699993133545,3,"cr0bb",64.2799987792969,5,"zowys",62.9300003051758,5
"y9e9q",1,55.7599983215332,5,NA,NA,NA,NA,NA,NA
"lljbz",0,48.810001373291,2,NA,NA,NA,NA,NA,NA
"jrz10",1,77.5800018310547,5,NA,NA,NA,NA,NA,NA
"bnyo1",0,61.2000007629395,3,NA,NA,NA,NA,NA,NA
"ey9i7",0,33.6500015258789,1.92999994754791,"re7h9",63.7099990844727,4,"dc2g4",69.1999969482422,4
"yu6vz",0,50.3400001525879,4,NA,NA,NA,NA,NA,NA
"fkx9v",0,50.2400016784668,0,NA,NA,NA,NA,NA,NA
"ruobx",0,67.5100021362305,5,NA,NA,NA,NA,NA,NA
"cosc8",1,62.8800010681152,3,NA,NA,NA,NA,NA,NA
"wcb58",0,24.6700000762939,2,"tnlre",66.6399993896484,6,"ax0a9",66.120002746582,6
"n5xib",0,59.1699981689453,0,NA,NA,NA,NA,NA,NA
"hexkb",0,65.870002746582,0,NA,NA,NA,NA,NA,NA
"ory8k",1,64.3399963378906,9,NA,NA,NA,NA,NA,NA
"i4mqv",0,76.7900009155273,8,NA,NA,NA,NA,NA,NA
"rrdvi",0,26.2600002288818,1,NA,NA,NA,NA,NA,NA
"qp283",0,35.689998626709,0,"tnlre",66.6399993896484,6,"ax0a9",66.120002746582,6
"jx4vo",0,74.8600006103516,4,NA,NA,NA,NA,NA,NA
"jelj9",1,52.7999992370605,4,NA,NA,NA,NA,NA,NA
"gev3n",1,33.310001373291,3,NA,NA,NA,NA,NA,NA
"mi9qg",1,84,1,NA,NA,NA,NA,NA,NA
"xppe3",0,39.9900016784668,0,"zfdt4",63.2599983215332,3,"js4m8",63.1100006103516,3
"dt3t2",0,59.8899993896484,5,NA,NA,NA,NA,NA,NA
"bmab0",0,50.0400009155273,0,NA,NA,NA,NA,NA,NA
"evdhv",0,69.3899993896484,4,NA,NA,NA,NA,NA,NA
"a1g6o",1,54.3199996948242,0,"gyksw",80.5999984741211,8,"qqeb2",40,6
"pe4yz",1,65.2099990844727,3,NA,NA,NA,NA,NA,NA
"o7si3",1,68.6999969482422,5,NA,NA,NA,NA,NA,NA
"xclg2",1,25.2999992370605,1,"pjt6l",67,5,"rilkv",62.2299995422363,5
"tjd6g",0,58.2400016784668,2,"ngzrw",86,9,"gjgg5",88.6600036621094,9
"dc2g4",0,69.1999969482422,4,NA,NA,NA,NA,NA,NA
"obs39",0,73.7099990844727,4,NA,NA,NA,NA,NA,NA
"uq8jo",0,66.9100036621094,7,NA,NA,NA,NA,NA,NA
"yc1tk",1,60.939998626709,4,NA,NA,NA,NA,NA,NA
"szn9j",1,32.2200012207031,3,"t3p4e",68.1800003051758,6,"oppni",67.879997253418,6
"ah4k2",1,67.7699966430664,5,NA,NA,NA,NA,NA,NA
"m12qs",1,64.2200012207031,5,NA,NA,NA,NA,NA,NA
"mqmi4",1,72.5800018310547,1,NA,NA,NA,NA,NA,NA
"gye1p",1,57.1500015258789,5,NA,NA,NA,NA,NA,NA
"saovk",0,59.0699996948242,6,NA,NA,NA,NA,NA,NA
"lxx2n",0,32.1500015258789,2,NA,NA,NA,NA,NA,NA
"mopab",0,27.1000003814697,2,"j3l04",53.1500015258789,6,"xh4c9",59.4599990844727,6
"iovsy",1,61.2299995422363,3,NA,NA,NA,NA,NA,NA
"ozn7x",0,42.0800018310547,6,NA,NA,NA,NA,NA,NA
"vqy6h",0,72.7600021362305,4,NA,NA,NA,NA,NA,NA
"b2atv",0,40.2099990844727,6,"qj3lz",42.2000007629395,6,"ts8lg",70.1100006103516,6
"fnrh7",0,36.2900009155273,1,"j57bu",64.5699996948242,8,"uvrhj",61.1199989318848,8
"ntu8c",0,33.9900016784668,0,NA,NA,NA,NA,NA,NA
"hqq61",0,67.3099975585938,6,NA,NA,NA,NA,NA,NA
"e2xq6",1,54.1599998474121,4,NA,NA,NA,NA,NA,NA
"z7y9n",1,57.9900016784668,6,NA,NA,NA,NA,NA,NA
"bkpsw",0,74.3000030517578,0,NA,NA,NA,NA,NA,NA
"sm939",0,79.6800003051758,0,NA,NA,NA,NA,NA,NA
"cjfrs",0,34.1800003051758,3,NA,NA,NA,NA,NA,NA
"bdqay",0,37.1800003051758,0.889999985694885,NA,NA,NA,NA,NA,NA
"dczcc",0,42,2,NA,NA,NA,NA,NA,NA
"oezl2",1,75.2799987792969,4,NA,NA,NA,NA,NA,NA
"u45ov",1,32.9900016784668,4,"tnlre",66.6399993896484,6,"ax0a9",66.120002746582,6
"k3b80",1,27.0900001525879,2,NA,NA,NA,NA,NA,NA
"jlvfl",0,74.2399978637695,2,NA,NA,NA,NA,NA,NA
"n8qlh",0,29.3500003814697,1.92999994754791,"x3y9q",59.6300010681152,6,"jmljj",54.8800010681152,6
"plpmc",1,46.3600006103516,0,NA,NA,NA,NA,NA,NA
"r7nvi",0,75.2900009155273,5,NA,NA,NA,NA,NA,NA
"z9580",1,66.0100021362305,5,NA,NA,NA,NA,NA,NA
"dzh66",0,69.5199966430664,0,NA,NA,NA,NA,NA,NA
"bqeeg",0,58.2799987792969,0,NA,NA,NA,NA,NA,NA
"fwusg",0,80.2399978637695,0,NA,NA,NA,NA,NA,NA
"ur0kq",0,55.1599998474121,5,NA,NA,NA,NA,NA,NA
"xth5u",1,33.4099998474121,1.88999998569489,"ipbap",42.4599990844727,5,"r7nvi",75.2900009155273,5
"xh4c9",0,59.4599990844727,6,NA,NA,NA,NA,NA,NA
"c3svz",0,50.5699996948242,1,"htbba",71,7,"qt1a9",81.620002746582,7
"bszvd",1,74.6100006103516,6,NA,NA,NA,NA,NA,NA
"yeln0",0,74.879997253418,7,NA,NA,NA,NA,NA,NA
"u940o",1,51.3499984741211,1,NA,NA,NA,NA,NA,NA
"it7sm",0,55.310001373291,5,"htbba",71,7,"qt1a9",81.620002746582,7
"sdj6h",0,78.2799987792969,0,NA,NA,NA,NA,NA,NA
"g62ug",1,44,0,NA,NA,NA,NA,NA,NA
"emiuv",0,40.3899993896484,2,"n255x",69.9899978637695,5,"qpjd8",70.2200012207031,5
"gyksw",1,80.5999984741211,8,NA,NA,NA,NA,NA,NA
"io0s0",0,59.6300010681152,2,NA,NA,NA,NA,NA,NA
"me66x",0,55.8300018310547,9,NA,NA,NA,NA,NA,NA
"jzseh",0,44.4599990844727,1,"em0xk",24.7000007629395,2,"jlvfl",74.2399978637695,2
"nx77o",1,73.4899978637695,7,NA,NA,NA,NA,NA,NA
"ga0fd",0,61.1300010681152,5,NA,NA,NA,NA,NA,NA
"q7ity",0,62.2099990844727,6,NA,NA,NA,NA,NA,NA
"o4psg",0,64.120002746582,9,NA,NA,NA,NA,NA,NA
"rilkv",0,62.2299995422363,5,NA,NA,NA,NA,NA,NA
"k2nfs",0,64.1399993896484,0,NA,NA,NA,NA,NA,NA
"pyps9",1,42.8600006103516,3,NA,NA,NA,NA,NA,NA
"kjzc5",1,53.0699996948242,6,NA,NA,NA,NA,NA,NA
"rybfr",1,38.0200004577637,2,NA,NA,NA,NA,NA,NA
"fg58z",0,46.2799987792969,6,NA,NA,NA,NA,NA,NA
"kkcz4",0,43.1599998474121,1,NA,NA,NA,NA,NA,NA
"dvryn",1,80.3000030517578,9,NA,NA,NA,NA,NA,NA
"i2ajz",0,50.0299987792969,0,NA,NA,NA,NA,NA,NA
"uljql",1,58.8899993896484,6,NA,NA,NA,NA,NA,NA
"t01ug",0,71.3000030517578,7,NA,NA,NA,NA,NA,NA
"e8qz6",0,57.6399993896484,4,NA,NA,NA,NA,NA,NA
"v5mf9",0,41.2299995422363,4,NA,NA,NA,NA,NA,NA
"uq344",0,63.7999992370605,7,NA,NA,NA,NA,NA,NA
"pyv99",1,23.3299999237061,1,"sj0po",52.9599990844727,5,"ckhw1",48.3699989318848,5
"ckamn",1,64.6100006103516,5,NA,NA,NA,NA,NA,NA
"jhgts",1,39.0299987792969,0,NA,NA,NA,NA,NA,NA
"xmxtz",0,56.9900016784668,5,NA,NA,NA,NA,NA,NA
"fhjto",0,57.5,6,NA,NA,NA,NA,NA,NA
"b9yjd",0,38.1800003051758,4,NA,NA,NA,NA,NA,NA
"aglpj",0,60.3400001525879,3,NA,NA,NA,NA,NA,NA
"tqwmy",0,84.8600006103516,7,NA,NA,NA,NA,NA,NA
"xg2tz",0,45.7200012207031,4,NA,NA,NA,NA,NA,NA
"bklpe",0,49.0800018310547,4,NA,NA,NA,NA,NA,NA
"o4sul",0,32.25,1,NA,NA,NA,NA,NA,NA
"uscs8",0,62.0400009155273,0,NA,NA,NA,NA,NA,NA
"xr4el",0,40.75,1,NA,NA,NA,NA,NA,NA
"j1p5h",0,40.1399993896484,4,NA,NA,NA,NA,NA,NA
"sgojx",0,34.1100006103516,4,"rarwb",63.3400001525879,7,"abwtu",66.4700012207031,7
"w8415",0,50.5999984741211,4,NA,NA,NA,NA,NA,NA
"hidlk",1,38.1699981689453,5,"tnlre",66.6399993896484,6,"ax0a9",66.120002746582,6
"l4pp2",0,79.0100021362305,7,NA,NA,NA,NA,NA,NA
"i82k2",1,34.8199996948242,3,NA,NA,NA,NA,NA,NA
"ilz9z",1,45.0800018310547,3,"ixpxs",46.0800018310547,4,"tap4g",78.1699981689453,4
"n357s",1,47.3600006103516,4,"znf4t",72.4300003051758,8,"ex89p",72.4300003051758,8
"eipe8",1,43.310001373291,1,"smqix",65.0999984741211,7,"k7jd7",65.0100021362305,7
"jxgo1",1,37.8400001525879,4,"iuvwc",67.879997253418,2,"tmj4u",70.7399978637695,2
"n7r7n",1,46.0499992370605,4,NA,NA,NA,NA,NA,NA
"a5up0",1,36.7799987792969,2,NA,NA,NA,NA,NA,NA
"a66zl",0,50.6500015258789,4,NA,NA,NA,NA,NA,NA
"pl3kf",0,80.1900024414062,6,NA,NA,NA,NA,NA,NA
"j0vje",1,52.6399993896484,3,NA,NA,NA,NA,NA,NA
"up55w",1,56.2700004577637,6,NA,NA,NA,NA,NA,NA
"uyqre",1,60.7299995422363,2,NA,NA,NA,NA,NA,NA
"ryy1r",1,41.1800003051758,4,"smqix",65.0999984741211,7,"k7jd7",65.0100021362305,7
"a8z24",0,29.7299995422363,1.88999998569489,"xztkn",83.4899978637695,8,"qwjk7",69.879997253418,8
"pxjww",0,54.3600006103516,4,"r3afo",83.9899978637695,7,"tqwmy",84.8600006103516,7
"db3ju",1,38.7799987792969,4,"aiynh",66.2099990844727,5,"ga0fd",61.1300010681152,5
"tmj4u",0,70.7399978637695,2,NA,NA,NA,NA,NA,NA
"xxnwc",0,52,3,NA,NA,NA,NA,NA,NA
"yab4f",0,73.3300018310547,5,NA,NA,NA,NA,NA,NA
"q20gu",0,64.6500015258789,6,NA,NA,NA,NA,NA,NA
"vy13q",0,55.6500015258789,0,NA,NA,NA,NA,NA,NA
"tjyjl",0,39.0099983215332,3,"ckamn",64.6100006103516,5,"db5hi",68.1999969482422,5
"ior4n",1,49.8800010681152,4,NA,NA,NA,NA,NA,NA
"vzcwe",1,63.2099990844727,6,NA,NA,NA,NA,NA,NA
"jq127",1,33.4500007629395,4,"b6bi2",72.9300003051758,4,"w477b",60.0900001525879,4
"zgleb",1,37.5400009155273,3,"zfdt4",63.2599983215332,3,"js4m8",63.1100006103516,3
"t6yyt",1,62.0099983215332,5,NA,NA,NA,NA,NA,NA
"bfr4e",1,64.2099990844727,2,NA,NA,NA,NA,NA,NA
"bvw84",1,51.1699981689453,3,NA,NA,NA,NA,NA,NA
"u0w9j",1,69.3300018310547,5,NA,NA,NA,NA,NA,NA
"icinj",0,33.5400009155273,4,NA,NA,NA,NA,NA,NA
"kh907",0,59.1599998474121,0,NA,NA,NA,NA,NA,NA
"okiww",1,38.7200012207031,3,"smqix",65.0999984741211,7,"k7jd7",65.0100021362305,7
"fh4cq",0,59.6599998474121,2,NA,NA,NA,NA,NA,NA
"k59tk",0,38.560001373291,2,"fgag0",39.1699981689453,4,"jhfz2",64.3300018310547,4
"g4k7u",0,56.9300003051758,4,NA,NA,NA,NA,NA,NA
"ixicl",0,25.4500007629395,3,NA,NA,NA,NA,NA,NA
"suk0m",0,60.8199996948242,9,NA,NA,NA,NA,NA,NA
"dvfsa",0,52.5900001525879,6,NA,NA,NA,NA,NA,NA
"k2qxq",0,24.9400005340576,1.92999994754791,"b6bi2",72.9300003051758,4,"w477b",60.0900001525879,4
"at652",0,66.629997253418,3,NA,NA,NA,NA,NA,NA
"ski79",1,52.6800003051758,8,NA,NA,NA,NA,NA,NA
"lhbf8",1,71.7699966430664,4,NA,NA,NA,NA,NA,NA
"eo6f2",1,34.4500007629395,3,"d7q3t",67.2699966430664,4,"blmyl",67.6800003051758,4
"gsblr",1,65.3399963378906,7,NA,NA,NA,NA,NA,NA
"d9rqz",1,37.1100006103516,0,"znf4t",72.4300003051758,8,"ex89p",72.4300003051758,8
"v7t04",1,49.4199981689453,5,NA,NA,NA,NA,NA,NA
"i2sdv",1,29.9799995422363,1,"qol3c",66.6500015258789,9,"k7v44",65.6800003051758,9
"mc2yl",1,30.9200000762939,3,"b6bi2",72.9300003051758,4,"w477b",60.0900001525879,4
"js4m8",0,63.1100006103516,3,NA,NA,NA,NA,NA,NA
"dw5oi",1,60.7000007629395,6,NA,NA,NA,NA,NA,NA
"i91fp",1,73.5500030517578,2,NA,NA,NA,NA,NA,NA
"ryc8f",0,30.3899993896484,2.89000010490417,"d8kbm",67.7200012207031,6,"a7stq",65.5299987792969,6
"tnlre",1,66.6399993896484,6,NA,NA,NA,NA,NA,NA
"cwyou",1,26.2099990844727,0,"x3y9q",59.6300010681152,6,"jmljj",54.8800010681152,6
"aytro",0,50.2299995422363,3,NA,NA,NA,NA,NA,NA
"sonb5",0,41.6500015258789,6.8899998664856,"qol3c",66.6500015258789,9,"k7v44",65.6800003051758,9
"cuugu",1,58.5999984741211,6,NA,NA,NA,NA,NA,NA
"znh0z",0,34.3300018310547,3,"ffwfn",59.9799995422363,4,"t4wif",66.0400009155273,4
"uvt22",0,41.8699989318848,3,NA,NA,NA,NA,NA,NA
"ja6ch",1,77.870002746582,6,NA,NA,NA,NA,NA,NA
"zfdt4",1,63.2599983215332,3,NA,NA,NA,NA,NA,NA
"klep6",1,71.379997253418,7,NA,NA,NA,NA,NA,NA
"let9b",1,43.1300010681152,1,"dvryn",80.3000030517578,9,"zbtub",66.129997253418,7
"x0sk7",1,34.9500007629395,2,"ty2pl",63.2999992370605,7,"jk8dm",59.7000007629395,7
"ptkhd",0,43.2799987792969,2,"ixpxs",46.0800018310547,4,"tap4g",78.1699981689453,4
"l41wj",1,58.4799995422363,6,NA,NA,NA,NA,NA,NA
"d1ymh",1,42.689998626709,2,"uahpy",66.4899978637695,4,"evdhv",69.3899993896484,4
"ki7l5",1,39.939998626709,3,"htbba",71,7,"qt1a9",81.620002746582,7
"v5ihv",0,42.1699981689453,3,NA,NA,NA,NA,NA,NA
"f3ruj",1,36.0099983215332,2,"xl8lo",NA,NA,"dbju4",66.879997253418,7
"bd5dl",0,54.0400009155273,6,NA,NA,NA,NA,NA,NA
"r4i08",0,39.3300018310547,3,NA,NA,NA,NA,NA,NA
"qe73t",1,77.7900009155273,7,NA,NA,NA,NA,NA,NA
"arvpe",0,38.1399993896484,5,"j57bu",64.5699996948242,8,"uvrhj",61.1199989318848,8
"cxj58",0,34.9099998474121,0,"aiynh",66.2099990844727,5,"ga0fd",61.1300010681152,5
"cpr0d",0,58.2799987792969,3,NA,NA,NA,NA,NA,NA
"qc9sb",0,17.25,1.92999994754791,NA,NA,NA,NA,NA,NA
"d8kbm",1,67.7200012207031,6,NA,NA,NA,NA,NA,NA
"wev8c",0,31.8799991607666,2.9300000667572,"z7y9n",57.9900016784668,6,"q7ity",62.2099990844727,6
"aunhb",1,63.6100006103516,9,NA,NA,NA,NA,NA,NA
"u4838",0,41.6800003051758,3,"gyksw",80.5999984741211,8,"vmi68",67.2300033569336,2
"a3yip",1,61.6300010681152,3,NA,NA,NA,NA,NA,NA
"qay6w",1,81.9300003051758,12,NA,NA,NA,NA,NA,NA
"ipxc0",1,50.6500015258789,5,NA,NA,NA,NA,NA,NA
"i1cnr",1,33.0900001525879,1.92999994754791,NA,NA,NA,NA,NA,NA
"k1qa5",0,57.7200012207031,8,NA,NA,NA,NA,NA,NA
"qt1a9",0,81.620002746582,7,NA,NA,NA,NA,NA,NA
"x9wpt",0,32.5499992370605,3,"qmak0",45.8600006103516,6,"q51lo",61.0999984741211,6
"z8yv2",0,34.810001373291,1,"eij25",70.25,4,"jx4vo",74.8600006103516,4
"qi3sx",0,65.4199981689453,4,NA,NA,NA,NA,NA,NA
"p9mbs",0,54.8800010681152,5,NA,NA,NA,NA,NA,NA
"qrrbs",0,56.9900016784668,2,NA,NA,NA,NA,NA,NA
"uvrhj",0,61.1199989318848,8,NA,NA,NA,NA,NA,NA
"wv0hg",1,74.8600006103516,1,NA,NA,NA,NA,NA,NA
"xb7fd",1,68.2900009155273,3,NA,NA,NA,NA,NA,NA
"uahpy",1,66.4899978637695,4,NA,NA,NA,NA,NA,NA
"m40l5",1,49.4199981689453,7,NA,NA,NA,NA,NA,NA
"piame",1,54.060001373291,3,NA,NA,NA,NA,NA,NA
"i8wfe",0,73.2699966430664,3,NA,NA,NA,NA,NA,NA
"sh3do",0,55.6100006103516,3,NA,NA,NA,NA,NA,NA
"ej5x4",0,66.6900024414062,0,NA,NA,NA,NA,NA,NA
"qkkvh",0,24.2900009155273,2,"u96wo",NA,NA,"i7tx1",52.4199981689453,1
"e3w3v",0,58.9700012207031,6,NA,NA,NA,NA,NA,NA
"re7h9",1,63.7099990844727,4,NA,NA,NA,NA,NA,NA
"thb8c",1,61.7400016784668,5,NA,NA,NA,NA,NA,NA
"d34nl",0,24.2999992370605,2,NA,NA,NA,NA,NA,NA
"d3531",0,27.2299995422363,1,"rwawh",61.9199981689453,2,"cktrq",31.5599994659424,2
"i5jg0",1,58.5400009155273,4,NA,NA,NA,NA,NA,NA
"wvka3",1,58.5999984741211,2,NA,NA,NA,NA,NA,NA
"y6eci",1,50.8199996948242,6,NA,NA,NA,NA,NA,NA
"qou7h",1,51.7000007629395,6,NA,NA,NA,NA,NA,NA
"ax0a9",0,66.120002746582,6,NA,NA,NA,NA,NA,NA
"xj8qr",0,62.7599983215332,0,NA,NA,NA,NA,NA,NA
"ga1hz",0,31.4599990844727,4,NA,NA,NA,NA,NA,NA
"xaygs",1,41.0099983215332,6,"kkalb",81.9199981689453,7,"w6ljj",65.9599990844727,7
"af8kl",0,62.0099983215332,7,NA,NA,NA,NA,NA,NA
"lk17z",0,29.4899997711182,1,"ffwfn",59.9799995422363,4,"t4wif",66.0400009155273,4
"yuvyc",1,43.2700004577637,7,NA,NA,NA,NA,NA,NA
"ts8lg",0,70.1100006103516,6,NA,NA,NA,NA,NA,NA
"g2jwp",0,64.9700012207031,0,NA,NA,NA,NA,NA,NA
"v7zcv",0,36.9500007629395,4,"smqix",65.0999984741211,7,"k7jd7",65.0100021362305,7
"bhh33",1,33.1599998474121,2,"ah4k2",67.7699966430664,5,"ajh5m",61.3899993896484,5
"tefyu",0,39.1500015258789,1.92999994754791,"ixpxs",46.0800018310547,4,"tap4g",78.1699981689453,4
"x176j",1,27.5400009155273,1.86000001430511,"z9580",66.0100021362305,5,"hkh3h",65.4899978637695,5
"ftsld",0,36.4099998474121,4,NA,NA,NA,NA,NA,NA
"t4kp2",1,60.2200012207031,5,NA,NA,NA,NA,NA,NA
"v3qio",0,49.9199981689453,3,NA,NA,NA,NA,NA,NA
"orn70",1,64.9199981689453,7,NA,NA,NA,NA,NA,NA
"p9zd8",0,65.5599975585938,0,NA,NA,NA,NA,NA,NA
"dgiyi",1,41.9000015258789,5,NA,NA,NA,NA,NA,NA
"fu5zl",0,30.7099990844727,1,"kssjx",59.4599990844727,4,"qi3sx",65.4199981689453,4
"fx3a2",0,28.3500003814697,1.88999998569489,NA,NA,NA,NA,NA,NA
"hnwrj",0,72.6500015258789,0,NA,NA,NA,NA,NA,NA
"cr0bb",1,64.2799987792969,5,NA,NA,NA,NA,NA,NA
"qlczc",0,60.9000015258789,1,NA,NA,NA,NA,NA,NA
"xhq0w",0,36.7299995422363,6,NA,NA,NA,NA,NA,NA
"ak0dz",1,24.1800003051758,1.92999994754791,"v7t04",49.4199981689453,5,"s6094",49,5
"ts1ou",1,70,4,NA,NA,NA,NA,NA,NA
"dw7k1",1,46.1800003051758,5,NA,NA,NA,NA,NA,NA
"oxat0",1,64.5299987792969,3,NA,NA,NA,NA,NA,NA
