"id","male","age","rs","idf","agef","rsf","code","idm","agem","rsm"
"pha1c",0,66,4,NA,NA,NA,"md","s556z",91,2
"ykttq",1,27,0,NA,NA,NA,"ms","ut2pq",52,3
"spl0a",0,40,2,NA,NA,NA,"md","bejs5",57,5
"xz2qk",1,22,0,NA,NA,NA,"ms","u6tg7",44,3
"rl4z8",1,29,1,"xwh4v",71,7,"fs",NA,NA,NA
"mhe7e",1,47,0,NA,NA,NA,"ms","hnq3h",67,4
"n026r",0,37,2,NA,NA,NA,"md","p0r9x",63,6
"xutdp",1,20,0,NA,NA,NA,"ms","r8exq",49,3
"jr7k8",1,27,1,"svooh",71,5,"fs",NA,NA,NA
"uviec",1,29,0,NA,NA,NA,"ms","dhogj",49,3
"fetnj",1,31,0,NA,NA,NA,"ms","uy3d0",59,5
"wuq34",0,21,0,"yqvl4",53,2,"fd",NA,NA,NA
"qwehq",1,27,0,"xwh4v",71,7,"fs",NA,NA,NA
"x7e9d",1,34,2,NA,NA,NA,"ms","epux3",58,4
"z7djy",1,38,1,NA,NA,NA,"ms","iu8yu",63,7
"c58jr",0,43,0,NA,NA,NA,"md","xtj24",71,3
"snvvj",1,30,0,NA,NA,NA,"ms","cxrym",66,5
"xm4i0",1,23,0,NA,NA,NA,"ms","majod",55,2
"gfhsl",1,22,0,"uxrbt",43,3,"fs",NA,NA,NA
"rr6lm",1,23,0,NA,NA,NA,"ms","g3h25",44,3
"blfnx",1,28,1,NA,NA,NA,"ms","z8365",59,6
"fn8ns",0,30,1,"p1730",57,3,"fd",NA,NA,NA
"isf5w",0,30,1,"nqcfb",66,3,"fd",NA,NA,NA
"r5w8m",0,18,0,NA,NA,NA,"md","d2g0i",38,3
"tgqcg",0,41,2,"js407",65,4,"fd",NA,NA,NA
"g7ttk",1,33,2,NA,NA,NA,"ms","dbzhs",68,6
"wocb8",1,23,0,NA,NA,NA,"ms","frhjp",44,2
"psw0o",0,18,0,"nr6u6",40,2,"fd",NA,NA,NA
"vw6e0",0,17,0,NA,NA,NA,"md","jn156",42,2
"u4e9t",0,41,2,"c2amv",72,5,"fd",NA,NA,NA
"uerji",0,20,0,NA,NA,NA,"md","qy117",43,2
"vx5fp",0,28,2,"z85yr",49,3,"fd",NA,NA,NA
"y5ikf",1,21,0,"mau3w",46,3,"fs",NA,NA,NA
"jxmqk",1,23,0,"kqkhg",55,3,"fs",NA,NA,NA
"havfz",0,36,0,"dqks7",67,3,"fd",NA,NA,NA
"o98k3",1,33,3,"brbl2",66,2,"fs",NA,NA,NA
"lwdp6",0,48,2,"jiwri",71,7,"fd",NA,NA,NA
"j177j",0,40,2,"rddfg",62,3,"fd",NA,NA,NA
"vzgyo",0,35,2,NA,NA,NA,"md","m6ll9",56,3
"i9opi",1,46,0,NA,NA,NA,"ms","iwft0",66,4
"c5tnt",0,34,1,NA,NA,NA,"md","t6hx7",51,3
"omba2",0,31,2,NA,NA,NA,"md","awkzf",55,3
"mbls5",1,33,0,NA,NA,NA,"ms","ikfti",61,5
"ed4hm",1,29,1,NA,NA,NA,"ms","ab92j",57,3
"e7vq3",1,21,0,"x9mvy",55,2,"fs",NA,NA,NA
"ly49t",1,17,0,"ez81e",38,2,"fs",NA,NA,NA
"ibpe2",0,39,2,NA,NA,NA,"md","kqs4c",67,4
"m801i",0,40,1,"jiwri",71,7,"fd",NA,NA,NA
"uowpf",1,32,0,NA,NA,NA,"ms","fatiq",55,4
"l5eid",1,19,0,"x87q3",55,2,"fs",NA,NA,NA
"pkye5",1,34,1,"yco10",66,5,"fs",NA,NA,NA
"kzbxa",0,41,2,NA,NA,NA,"md","z47qi",79,6
"x6bny",0,31,0,NA,NA,NA,"md","iu8yu",63,7
"subvm",1,27,1,"eqkwy",54,3,"fs",NA,NA,NA
"pjoa7",0,18,0,NA,NA,NA,"md","s0eeb",47,3
"c6fjq",0,42,3,NA,NA,NA,"md","v5x3d",82,5
"bzd16",0,23,1,NA,NA,NA,"md","fb9uj",45,3
"rhxux",1,31,0,"ywq4d",62,4,"fs",NA,NA,NA
"obccs",1,29,0,"m63yf",54,4,"fs",NA,NA,NA
"s4oar",1,25,0,"n7tas",56,3,"fs",NA,NA,NA
"qlnua",1,46,1,NA,NA,NA,"ms","ykeq7",66,8
"b604a",0,39,2,"ruy7o",83,5,"fd",NA,NA,NA
"wop5p",1,41,0,NA,NA,NA,"ms","vrflj",86,2
"n1758",1,47,2,NA,NA,NA,"ms","khfui",72,6
"n9v6i",0,21,0,"dl9ey",55,2,"fd",NA,NA,NA
"o1vsx",1,36,1,NA,NA,NA,"ms","otb71",56,3
"ttki5",0,22,0,NA,NA,NA,"md","xbssv",51,4
"pkye5",1,34,1,NA,NA,NA,"ms","blu2i",57,5
"ndex3",1,17,0,NA,NA,NA,"ms","kzrg5",46,4
"tjuwf",0,31,2,"brbl2",66,2,"fd",NA,NA,NA
"t7rx7",1,18,0,"ejrvx",43,2,"fs",NA,NA,NA
"d0fuf",0,26,1,"lqjbw",55,6,"fd",NA,NA,NA
"fjrvd",0,39,2,NA,NA,NA,"md","iu8yu",63,7
"c0ue1",1,47,2,NA,NA,NA,"ms","sbt9w",75,7
"skl4z",1,44,2,NA,NA,NA,"ms","b54ff",68,5
"mrfce",1,27,0,NA,NA,NA,"ms","kvbt8",61,3
"iwft0",0,66,4,NA,NA,NA,"md","bi6u0",88,1
"yloia",0,43,3,NA,NA,NA,"md","gyo0o",71,2
"o6d9o",0,34,1,NA,NA,NA,"md","ibjf4",60,2
"qy117",0,43,2,"d5roy",70,6,"fd",NA,NA,NA
"i4dkz",0,31,2,NA,NA,NA,"md","lwrz8",58,3
"lj6l9",0,32,1,NA,NA,NA,"md","qdgdq",62,6
"rl4z8",1,29,1,NA,NA,NA,"ms","r40p7",63,7
"ds1n6",0,21,0,NA,NA,NA,"md","xpn2c",45,2
"g2ufx",1,21,0,"d6wl9",51,3,"fs",NA,NA,NA
"tzlki",1,17,0,NA,NA,NA,"ms","rd9tt",42,3
"capkj",0,23,1,NA,NA,NA,"md","u6tg7",44,3
"qwtol",0,35,2,"c2amv",72,5,"fd",NA,NA,NA
"oo7b5",0,51,2,"ruy7o",83,5,"fd",NA,NA,NA
"om0z3",1,25,1,"x7owx",50,3,"fs",NA,NA,NA
"wjvk2",0,37,3,NA,NA,NA,"md","epux3",58,4
"r6x3g",1,55,3,NA,NA,NA,"ms","u4oyd",80,7
"hnygf",1,37,1,NA,NA,NA,"ms","prf7w",66,6
"i7yow",0,36,1,"v0s2k",61,4,"fd",NA,NA,NA
"u9ah3",1,39,1,NA,NA,NA,"ms","k17i5",64,5
"howgw",0,35,1,"js407",65,4,"fd",NA,NA,NA
"ei2bg",0,36,1,NA,NA,NA,"md","v4r1l",73,4
"ooirm",0,37,1,NA,NA,NA,"md","p28b4",67,4
"u800p",0,21,0,NA,NA,NA,"md","fb9uj",45,3
"fvqde",1,50,2,NA,NA,NA,"ms","jer0u",77,2
"x7q5v",1,41,1,NA,NA,NA,"ms","sbt9w",75,7
"psxjm",0,32,1,NA,NA,NA,"md","blu2i",57,5
"kwwvl",1,32,1,"wush8",65,4,"fs",NA,NA,NA
"a9036",0,33,1,NA,NA,NA,"md","rot7v",80,8
"kvbt8",0,61,3,NA,NA,NA,"md","hj2we",86,1
"tej8l",1,24,0,NA,NA,NA,"ms","hlwuf",52,2
"olem7",1,22,0,NA,NA,NA,"ms","l44gb",58,2
"ecveo",0,35,1,NA,NA,NA,"md","s4rmj",71,9
"rmkgi",1,40,2,"vdls1",66,4,"fs",NA,NA,NA
"acw1g",1,31,0,"v8caa",78,5,"fs",NA,NA,NA
"duvja",0,25,0,NA,NA,NA,"md","frhjp",44,2
"y84y3",1,17,0,NA,NA,NA,"ms","j4bf3",37,2
"gnhnw",0,44,2,NA,NA,NA,"md","zoq22",70,4
"aq9nj",0,59,3,NA,NA,NA,"md","en9wq",79,5
"ipzsc",1,44,2,NA,NA,NA,"ms","z47qi",79,6
"evxan",1,38,2,"svooh",71,5,"fs",NA,NA,NA
"evell",1,32,1,"vdls1",66,4,"fs",NA,NA,NA
"a2onc",0,37,2,"c2amv",72,5,"fd",NA,NA,NA
"vmn4b",0,31,1,NA,NA,NA,"md","s4rmj",71,9
"waja4",1,45,2,NA,NA,NA,"ms","y59aq",75,8
"agpii",0,33,2,"rddfg",62,3,"fd",NA,NA,NA
"dsbql",1,19,0,NA,NA,NA,"ms","cj0g5",36,2
"zr7sn",0,23,0,NA,NA,NA,"md","o156z",46,3
"if79q",0,32,2,"krmkr",56,4,"fd",NA,NA,NA
"b6gbp",0,17,0,NA,NA,NA,"md","nitq5",39,3
"mo062",1,34,1,NA,NA,NA,"ms","k17i5",64,5
"jrtqg",1,24,1,NA,NA,NA,"ms","nc790",43,3
"iudvu",1,37,1,NA,NA,NA,"ms","n1mks",72,7
"bzzrh",1,22,0,NA,NA,NA,"ms","js5cn",51,3
"qsdz6",0,42,3,NA,NA,NA,"md","dknj7",70,5
"u0qzr",0,23,0,"npcss",49,2,"fd",NA,NA,NA
"bqacg",1,25,0,NA,NA,NA,"ms","gescz",51,4
"gnop4",0,24,1,"o67vw",52,3,"fd",NA,NA,NA
"pdy1n",1,43,1,NA,NA,NA,"ms","kqs4c",67,4
"k8ofd",1,60,3,NA,NA,NA,"ms","u4oyd",80,7
"eno0f",0,31,2,"kuc5t",59,6,"fd",NA,NA,NA
"vndpg",0,23,0,NA,NA,NA,"md","i673v",41,2
"rz1iq",1,31,2,NA,NA,NA,"ms","guwpw",66,5
"jhxp4",1,39,2,NA,NA,NA,"ms","s4rmj",71,9
"zcoqw",1,56,0,NA,NA,NA,"ms","z47qi",79,6
"qej8z",1,21,0,NA,NA,NA,"ms","c6fjq",42,3
"gpubu",0,31,2,"k5hwb",60,3,"fd",NA,NA,NA
"gsvse",0,43,2,"jiwri",71,7,"fd",NA,NA,NA
"d0hh1",1,17,0,"a79fw",39,2,"fs",NA,NA,NA
"exf7i",1,37,1,NA,NA,NA,"ms","b54ff",68,5
"kwwvl",1,32,1,NA,NA,NA,"ms","k5m2z",53,4
"i7m46",1,25,0,"kqkhg",55,3,"fs",NA,NA,NA
"x1qkk",1,22,0,NA,NA,NA,"ms","ifgjt",45,2
"ksi41",0,39,0,NA,NA,NA,"md","iwft0",66,4
"y6dzm",1,18,0,NA,NA,NA,"ms","n5rgq",38,2
"mrzwd",1,21,0,"gu34s",75,7,"fs",NA,NA,NA
"x9p2o",1,18,0,NA,NA,NA,"ms","y6s6v",38,2
"bqwey",0,34,0,NA,NA,NA,"md","ykeq7",66,8
"ly49t",1,17,0,NA,NA,NA,"ms","nazyp",36,2
"lufyg",0,30,3,NA,NA,NA,"md","fatiq",55,4
"udp2o",0,18,0,"ze6tu",42,1,"fd",NA,NA,NA
"jr7k8",1,27,1,NA,NA,NA,"ms","cxrym",66,5
"uffj7",0,39,1,NA,NA,NA,"md","n53vg",64,7
"ev3uz",0,25,0,"gndql",52,3,"fd",NA,NA,NA
"sa7l5",0,42,3,NA,NA,NA,"md","kao3k",65,2
"dn63s",0,18,0,"tdmbu",50,2,"fd",NA,NA,NA
"d0fuf",0,26,1,NA,NA,NA,"md","zxt98",52,6
"umrxv",1,19,0,"kqd5a",45,2,"fs",NA,NA,NA
"g5q8q",0,30,0,"dqks7",67,3,"fd",NA,NA,NA
"ahvyi",0,25,1,"k5hwb",60,3,"fd",NA,NA,NA
"uitsg",0,33,0,"id9r2",73,4,"fd",NA,NA,NA
"uerji",0,20,0,"gg2o1",46,2,"fd",NA,NA,NA
"lwdp6",0,48,2,NA,NA,NA,"md","yfaon",70,7
"hu5u6",1,27,0,"qjb94",54,3,"fs",NA,NA,NA
"h9mgw",1,20,0,NA,NA,NA,"ms","leupe",44,2
"udulv",0,23,0,NA,NA,NA,"md","i4yk2",50,3
"rz45k",1,30,1,"okvvh",59,5,"fs",NA,NA,NA
"xhds6",0,25,1,"v0s2k",61,4,"fd",NA,NA,NA
"lt2gy",0,37,2,NA,NA,NA,"md","fscx0",59,4
"bzg7j",1,22,0,"tdmbu",50,2,"fs",NA,NA,NA
"ceah2",0,54,2,NA,NA,NA,"md","cuiz0",79,6
"qos9y",1,55,0,NA,NA,NA,"ms","sbt9w",75,7
"l2zzm",0,22,0,"xwh4v",71,7,"fd",NA,NA,NA
"cpcjs",0,21,0,NA,NA,NA,"md","swvf9",42,2
"fgxnk",0,23,1,NA,NA,NA,"md","yloia",43,3
"z5qx2",1,28,1,"p1730",57,3,"fs",NA,NA,NA
"zhnos",0,21,0,"ksnzs",45,2,"fd",NA,NA,NA
"z1lug",1,26,0,NA,NA,NA,"ms","svh73",48,1
"uitsg",0,33,0,NA,NA,NA,"md","y8mxf",65,4
"l5ocd",0,45,2,NA,NA,NA,"md","w2mff",75,6
"nddc8",0,24,1,NA,NA,NA,"md","pgrm8",45,3
"l44gb",0,58,2,NA,NA,NA,"md","z47qi",79,6
"zxt98",0,52,6,NA,NA,NA,"md","a16ov",79,2
"qcsso",1,19,0,"b22c6",40,2,"fs",NA,NA,NA
"wwnt3",0,25,0,NA,NA,NA,"md","majod",55,2
"e7vq3",1,21,0,NA,NA,NA,"ms","hlwuf",52,2
"y6s6v",0,38,2,NA,NA,NA,"md","ijhhq",59,4
"ypo99",0,27,0,"kuc5t",59,6,"fd",NA,NA,NA
"qp3bh",0,36,2,NA,NA,NA,"md","guwpw",66,5
"tdz4c",1,29,0,NA,NA,NA,"ms","xxbgl",57,6
"on5hq",1,44,3,NA,NA,NA,"ms","edbtv",77,8
"ibj5b",0,27,0,"kqkhg",55,3,"fd",NA,NA,NA
"hjv98",1,46,2,NA,NA,NA,"ms","xtj24",71,3
"axfuy",0,36,1,"svooh",71,5,"fd",NA,NA,NA
"i6wzg",1,51,1,NA,NA,NA,"ms","g22jt",67,4
"doh30",1,22,0,"pv4n9",55,3,"fs",NA,NA,NA
"mrzwd",1,21,0,NA,NA,NA,"ms","n53vg",64,7
"dsbql",1,19,0,"w7jev",39,2,"fs",NA,NA,NA
"dhvjd",1,61,0,NA,NA,NA,"ms","ogong",83,5
"p7vwy",1,34,1,NA,NA,NA,"ms","bejs5",57,5
"bzd16",0,23,1,"pv4n9",55,3,"fd",NA,NA,NA
"nbig0",0,33,2,NA,NA,NA,"md","aq9nj",59,3
"b94f0",1,17,0,NA,NA,NA,"ms","qsdz6",42,3
"qj2me",0,34,0,NA,NA,NA,"md","iu8yu",63,7
"l5nm8",1,41,2,NA,NA,NA,"ms","prf7w",66,6
"hhtgd",0,39,2,"xettd",68,2,"fd",NA,NA,NA
"oj233",1,23,0,"ooa02",54,2,"fs",NA,NA,NA
"lp5h6",0,30,2,NA,NA,NA,"md","yqmqf",58,4
"ekbu4",0,22,0,"b2aqk",42,3,"fd",NA,NA,NA
"o2szt",0,50,3,NA,NA,NA,"md","ogong",83,5
"qhd55",1,38,0,"js407",65,4,"fs",NA,NA,NA
"h25ba",1,17,0,"vwsa6",42,1,"fs",NA,NA,NA
"dn63s",0,18,0,NA,NA,NA,"md","h64mq",42,2
"mow8f",0,20,0,NA,NA,NA,"md","fkdib",45,3
"x0qm1",1,20,0,"poeld",49,3,"fs",NA,NA,NA
"dyogp",1,37,2,NA,NA,NA,"ms","ijhhq",59,4
"xlsgu",0,18,0,NA,NA,NA,"md","vtzpi",40,2
"xhds6",0,25,1,NA,NA,NA,"md","yqmqf",58,4
"os6ke",0,25,1,"mruwu",56,4,"fd",NA,NA,NA
"azm6s",1,21,0,NA,NA,NA,"ms","mnjif",68,4
"eno0f",0,31,2,NA,NA,NA,"md","ftd64",61,6
"m8yc3",1,29,2,"l1qn0",55,2,"fs",NA,NA,NA
"qpamg",1,23,0,NA,NA,NA,"ms","mwt7c",46,3
"wgtk4",1,36,1,NA,NA,NA,"ms","hnq3h",67,4
"i3s7n",0,55,4,NA,NA,NA,"md","ovlv1",76,1
"jn9ti",1,31,1,NA,NA,NA,"ms","n1mks",72,7
"xbmdx",0,50,2,NA,NA,NA,"md","cuiz0",79,6
"uviec",1,29,0,"n7tas",56,3,"fs",NA,NA,NA
"l2n7p",0,18,0,"dsfiu",42,2,"fd",NA,NA,NA
"spwxb",1,38,2,"d5roy",70,6,"fs",NA,NA,NA
"veutt",1,25,0,"okvvh",59,5,"fs",NA,NA,NA
"z1cnl",0,29,2,NA,NA,NA,"md","n96ta",57,3
"gqh6e",1,38,1,NA,NA,NA,"ms","fatiq",55,4
"khdqm",0,25,0,NA,NA,NA,"md","svxej",52,2
"r9c1g",0,22,0,NA,NA,NA,"md","k6rw3",48,2
"or0i7",1,18,0,NA,NA,NA,"ms","fjrvd",39,2
"psxjm",0,32,1,"yco10",66,5,"fd",NA,NA,NA
"ynlxb",0,38,1,NA,NA,NA,"md","q6n3v",61,7
"jzwsl",0,20,0,NA,NA,NA,"md","qsdz6",42,3
"qehhi",1,35,0,NA,NA,NA,"ms","ab92j",57,3
"zpije",0,38,0,"id9r2",73,4,"fd",NA,NA,NA
"e2d16",1,25,0,NA,NA,NA,"ms","mi7so",43,3
"jiw99",0,22,0,"lqjbw",55,6,"fd",NA,NA,NA
"wzqno",1,41,0,NA,NA,NA,"ms","epux3",58,4
"subvm",1,27,1,NA,NA,NA,"ms","vw1tf",52,3
"dwfih",0,17,0,NA,NA,NA,"md","bv7vw",34,2
"hayjt",0,28,0,"ooa02",54,2,"fd",NA,NA,NA
"m8yc3",1,29,2,NA,NA,NA,"ms","ilek2",49,2
"ekbu4",0,22,0,NA,NA,NA,"md","rg6na",44,3
"cwamt",0,44,3,NA,NA,NA,"md","qvlxh",71,4
"u4dhc",1,40,0,NA,NA,NA,"ms","t5t9d",78,2
"whgit",0,30,2,NA,NA,NA,"md","m6ll9",56,3
"xscmi",1,37,2,"wgvv3",67,5,"fs",NA,NA,NA
"tittp",0,23,0,NA,NA,NA,"md","lsy9d",55,5
"c58jr",0,43,0,"y5svp",69,3,"fd",NA,NA,NA
"a1y3k",1,41,0,"iyud6",65,3,"fs",NA,NA,NA
"cx08y",0,34,1,NA,NA,NA,"md","guwpw",66,5
"qu77q",1,39,2,NA,NA,NA,"ms","layzg",58,3
"d7510",0,24,0,NA,NA,NA,"md","z52e2",65,8
"a06fe",1,35,2,"qd4a8",76,4,"fs",NA,NA,NA
"xz2qk",1,22,0,"iox70",49,3,"fs",NA,NA,NA
"sdz7g",0,27,1,NA,NA,NA,"md","l0zjx",70,5
"bqacg",1,25,0,"krmkr",56,4,"fs",NA,NA,NA
"mjlkg",1,43,1,NA,NA,NA,"ms","en9wq",79,5
"wx5hj",0,43,3,NA,NA,NA,"md","ywuew",74,8
"zn1o9",0,25,1,"a4cla",50,2,"fd",NA,NA,NA
"usa3j",1,18,0,NA,NA,NA,"ms","j458l",40,2
"tej8l",1,24,0,"x9mvy",55,2,"fs",NA,NA,NA
"e6xqj",0,40,0,"kuc5t",59,6,"fd",NA,NA,NA
"z1lug",1,26,0,"bcsbv",50,1,"fs",NA,NA,NA
"ivct5",0,17,0,NA,NA,NA,"md","c8y3s",41,3
"p59tg",1,39,1,NA,NA,NA,"ms","t6y0i",75,2
"mffvc",0,25,0,NA,NA,NA,"md","o156z",46,3
"g0q7a",1,39,2,NA,NA,NA,"ms","dbzhs",68,6
"u4e9t",0,41,2,NA,NA,NA,"md","qdwnu",66,5
"z494k",0,21,0,"b2aqk",42,3,"fd",NA,NA,NA
"a6it5",1,35,2,NA,NA,NA,"ms","pha1c",66,4
"ityv2",0,33,2,NA,NA,NA,"md","rot7v",80,8
"rhxux",1,31,0,NA,NA,NA,"ms","kh565",61,4
"ty66s",0,34,2,NA,NA,NA,"md","lwrz8",58,3
"o1vsx",1,36,1,"nqcfb",66,3,"fs",NA,NA,NA
"bz4h6",1,27,0,"a4cla",50,2,"fs",NA,NA,NA
"tum7o",0,17,0,NA,NA,NA,"md","wervh",38,2
"hv5vy",0,20,0,NA,NA,NA,"md","xbssv",51,4
"fwjgg",0,46,3,NA,NA,NA,"md","ywuew",74,8
"xp6yl",1,23,0,NA,NA,NA,"ms","ja0us",46,2
"gwdio",1,49,3,NA,NA,NA,"ms","ywuew",74,8
"q5au2",0,22,0,NA,NA,NA,"md","g2umi",42,2
"as1c0",0,18,0,"x87q3",55,2,"fd",NA,NA,NA
"y6dzm",1,18,0,"dl9ey",55,2,"fs",NA,NA,NA
"tp78n",0,34,2,"azmm3",63,4,"fd",NA,NA,NA
"w4gbs",0,29,1,NA,NA,NA,"md","fwf87",61,4
"snvvj",1,30,0,"svooh",71,5,"fs",NA,NA,NA
"sazt3",1,41,2,NA,NA,NA,"ms","rot7v",80,8
"fyqjg",0,32,2,NA,NA,NA,"md","w2mff",75,6
"puigu",0,23,1,"o67vw",52,3,"fd",NA,NA,NA
"sxlcs",0,40,0,NA,NA,NA,"md","ykeq7",66,8
"ibj5b",0,27,0,NA,NA,NA,"md","ubbbo",50,3
"pr3wy",1,25,0,NA,NA,NA,"ms","u5msj",45,3
"lcdfl",0,25,1,NA,NA,NA,"md","l7pq2",51,2
"lpwdl",1,22,0,"poeld",49,3,"fs",NA,NA,NA
"gfhsl",1,22,0,NA,NA,NA,"ms","u5msj",45,3
"b3hxb",1,35,0,NA,NA,NA,"ms","prf7w",66,6
"h594n",1,29,0,"yco10",66,5,"fs",NA,NA,NA
"m84k1",1,36,2,NA,NA,NA,"ms","hb11f",59,2
"x536o",0,25,1,NA,NA,NA,"md","ykeq7",66,8
"doh30",1,22,0,NA,NA,NA,"ms","fb9uj",45,3
"hbpu1",0,36,2,NA,NA,NA,"md","q6n3v",61,7
"jiiou",1,30,1,"id9r2",73,4,"fs",NA,NA,NA
"js6kp",0,43,2,"d5roy",70,6,"fd",NA,NA,NA
"qxsbb",0,40,2,NA,NA,NA,"md","gyo0o",71,2
"o6pew",1,35,1,NA,NA,NA,"ms","ijhhq",59,4
"e5n30",0,32,2,NA,NA,NA,"md","afn6o",61,3
"eglv4",0,21,1,NA,NA,NA,"md","rd9tt",42,3
"cgkn0",1,21,0,NA,NA,NA,"ms","vw1tf",52,3
"bzg7j",1,22,0,NA,NA,NA,"ms","h64mq",42,2
"dlk7k",1,40,0,NA,NA,NA,"ms","p0r9x",63,6
"mvvqp",1,45,3,NA,NA,NA,"ms","s4rmj",71,9
"t4zkq",1,50,2,NA,NA,NA,"ms","dfbht",72,5
"o0xgu",1,30,0,NA,NA,NA,"ms","gescz",51,4
"a79fw",1,39,2,NA,NA,NA,"ms","spy9y",67,3
"ogtrs",1,23,0,NA,NA,NA,"ms","u5eli",45,2
"u0qzr",0,23,0,NA,NA,NA,"md","b0sze",44,2
"m801i",0,40,1,NA,NA,NA,"md","yfaon",70,7
"g2ufx",1,21,0,NA,NA,NA,"ms","g2l8o",46,3
"dby3g",0,34,1,NA,NA,NA,"md","afn6o",61,3
"oam62",1,35,0,NA,NA,NA,"ms","rptvm",70,6
"gwsp4",0,18,0,NA,NA,NA,"md","mi7so",43,3
"gbht3",0,32,1,NA,NA,NA,"md","rz3ar",56,4
"u2lrn",0,44,2,"xwh4v",71,7,"fd",NA,NA,NA
"ogusy",0,40,0,NA,NA,NA,"md","uy3d0",59,5
"ez81e",1,38,2,"jiwri",71,7,"fs",NA,NA,NA
"d2sgc",0,23,0,NA,NA,NA,"md","fvqoo",44,2
"bbn0x",1,49,3,NA,NA,NA,"ms","hsjh7",72,3
"z5qx2",1,28,1,NA,NA,NA,"ms","g8yno",51,3
"qgdln",1,44,2,NA,NA,NA,"ms","guwpw",66,5
"xbjhy",0,39,2,NA,NA,NA,"md","qdgdq",62,6
"eglv4",0,21,1,"dolhe",46,3,"fd",NA,NA,NA
"eej73",1,31,2,NA,NA,NA,"ms","jd17s",67,2
