"id","male","age","rs","mid","agem","rsm","fid","agef","rsf"
"ub6c8",1,NA,0,"usg2k",38,3,"vw4j6",45,3
"xa5q0",0,15.8329911,0,"rlk6c",38,7,"inreo",50,7
"el02u",0,16.99931554,0,"ujiv0",51,6,"voill",51,6
"k4pvj",1,18.68856947,0,"x6zyr",40,3,"tczd1",49,3
"ccss0",0,NA,3,"fq6ps",NA,3,"kzh4n",NA,3
"jl8x2",0,33.21013005,0,"lg5wj",58,6,"b01r1",62,6
"o664x",0,20,0,"jj7rw",50,10,"nxtt2",NA,10
"b01r1",1,62.04791239,6,"vteoy",NA,2,"f0pn5",NA,2
"ypk85",0,36.42162902,0,"h4xmj",69,3,"yzo30",NA,2
"apye9",1,NA,1,"s7rvd",NA,2,"hdsa9",NA,2
"reob5",1,21.2073922,1,"i4w9w",34,6,NA,NA,NA
"egkjg",1,26.42847365,2,"tc426",NA,6,"kjezt",59,6
"cw6c0",1,29,4,"h95an",NA,4,NA,NA,NA
"skm6j",1,16.78028747,0,"k4m8q",40,2,NA,NA,NA
"a3zuh",1,NA,0,"p3vfn",NA,3,"tlxyn",NA,3
"kooye",0,19.35934292,0,"ujiv0",51,6,"voill",51,6
"xkg81",0,48,0,"r2lf5",NA,2,"mp7qj",NA,2
"nvdya",0,NA,1,"yu2wj",NA,3,"qbvw0",NA,3
"njnr3",1,38.51608487,2,"vzh2b",NA,1,NA,NA,NA
"lg5wj",0,58.36550308,6,"yuw8b",NA,7,"na4vv",NA,7
"ibb41",0,38.13552361,1,"k35lj",NA,1,NA,NA,NA
"hjui4",1,75.20602327,0,"nwz8r",NA,4,"r8sxb",NA,4
"j69dw",1,67,3,NA,NA,NA,"w874n",NA,4
"gmr90",0,20.10403833,0,"sl3ai",44,4,"fo607",50,4
"og7jb",0,NA,0,"mawzw",52,4,NA,NA,NA
"n331j",0,46.17659138,6,"dit6f",NA,4,"ot6j1",NA,4
"zb97o",1,21.58247775,0,"n331j",46,6,"hgh53",50,6
"n2co8",0,22.40109514,0,"oalze",56,4,"vn4yn",NA,4
"rphvh",1,42.86105407,3,"popci",75,8,"vibg0",NA,8
"u4g7c",1,50.19301848,3,"knxfa",NA,1,"quiui",NA,2
"xeyxa",1,35.45516769,1,"lg5wj",58,6,"b01r1",62,6
"ja675",1,36,2,"og28y",52,2,NA,NA,NA
"z2jx9",0,NA,0,"l43pw",32,2,"a4q1a",36,2
"jq77c",0,NA,2,"mfmrd",51,4,"d26vi",64,5
"wdsd6",1,25,0,"m2j45",52,4,"oaxqd",50,4
"zw9rj",1,NA,3,"lf4bv",NA,3,"uww65",NA,3
"ktun4",0,NA,3,"pfpja",NA,2,"lu0vm",NA,2
"usg2k",0,37.77686516,3,"lfv5d",67,9,"uoxxy",NA,11
"ti961",1,57.48939083,0,"yj19e",NA,1,NA,NA,NA
"jel8y",0,70,6,"tv6pa",NA,3,"pw3wc",NA,3
"lhapd",1,52.36413415,5,"popci",75,8,"vibg0",NA,8
"g7afl",1,36.42162902,0,"h4xmj",69,3,"yzo30",NA,2
"rlk6c",0,38.39288159,7,"tl23p",67,3,"leps1",NA,3
"xcuzp",0,51.97809719,4,NA,NA,NA,"ibag8",NA,3
"jvw70",0,35.96440794,1,NA,NA,NA,"d26vi",64,5
"bbode",0,NA,2,"nfgjg",NA,2,"cgtjn",NA,2
"dit6f",0,NA,4,"mn1ak",NA,5,"l7cef",NA,5
"i0e5o",1,15.70978782,0,"x6zyr",40,3,"tczd1",49,3
"md3l6",0,23.71252567,2,"dnkzd",48,6,"m5p9u",42,6
"bw55a",1,NA,3,"jd0g1",NA,5,"uoxxy",NA,11
"urfna",0,29,4,"fsq4u",50,1,"ycw0c",70,1
"i6his",0,17.34428474,0,"i4w9w",34,6,"ff75y",31,1
"p07sz",1,NA,4,"lf4bv",NA,3,"uww65",NA,3
"z4pux",1,NA,4,"p6hgw",NA,3,"visxp",NA,3
"xc0a2",1,52,3,"nwz8r",NA,4,"r8sxb",NA,4
"lgj2f",0,16.44626968,0,"tfnz1",45,8,"q6urs",45,6
"tl9pa",1,49.05407255,2,"jel8y",70,6,"w1mcu",78,6
"nzzg0",1,19.85489391,0,"j8610",NA,5,"v1zp5",49,5
"oxadt",0,42.5982204,3,"qx4yu",78,4,"p07sz",NA,4
"dd5xc",1,NA,3,"pfpja",NA,2,"lu0vm",NA,2
"dth9g",0,31.42778919,1,"flcy5",58,3,"i8cik",NA,3
"hmsv8",0,NA,0,"lwbfz",70,4,"t03da",62,4
"u2ak3",0,18.84736482,0,"cgunn",49,5,"lhapd",52,5
"xw3c1",1,15.79739904,0,"urfna",29,4,"fs22r",30,4
"vi5kn",1,45.48665298,1,"er9gd",74,3,"f2fh3",73,3
"f5s1i",1,19,0,"pxs9i",41,2,"i4pc3",39,2
"em5pk",1,41.5633128,2,"olqm4",59,1,NA,NA,NA
"cwvsi",0,23,0,"hjzvw",NA,4,"alscy",NA,4
"z0q29",1,32.21629021,1,"tc426",NA,6,"kjezt",59,6
"hrj8s",1,32.35318275,0,"twp17",54,5,NA,NA,NA
"w8svz",1,41.10609172,0,"jel8y",70,6,"w1mcu",78,6
"c8r56",0,18.83915127,0,"x0ey8",37,2,"l8i1t",44,2
"qtuwq",0,NA,3,NA,NA,NA,"w874n",NA,4
"pmry0",0,21.27857632,0,"ytk6p",40,8,"nt4y2",49,8
"so4tc",0,NA,1,"mcq2v",56,7,"es3wc",NA,2
"wdqbt",0,58,3,"njz2j",NA,1,"s17ug",NA,1
"svf0l",0,61.99863107,9,"qtuwq",NA,3,"vazz3",NA,3
"r48rg",1,56.93086927,0,"qtuwq",NA,3,"vazz3",NA,3
"k3mc6",1,17,0,"kyz6p",48,1,"b2m7n",NA,1
"lapuk",0,16,0,"wdqbt",58,3,"lkyco",NA,3
"dl6sl",1,39.8384668,0,"ibvdn",63,3,"xueef",NA,3
"quiui",1,NA,2,"blsyx",NA,2,"kiafg",NA,2
"jg2vv",0,NA,4,"nfgjg",NA,2,"cgtjn",NA,2
"dla2t",0,NA,3,"waaj6",NA,3,"d29cz",NA,3
"rduna",1,17.48939083,0,"ulzku",48,5,"xqoe8",51,5
"zh3sw",1,NA,4,NA,NA,NA,"w874n",NA,4
"ms5ej",0,23.44695414,1,"cgunn",49,5,"lhapd",52,5
"ifil4",0,54.01232033,4,"m7mxh",NA,1,NA,NA,NA
"k35lj",0,NA,1,"qjee1",NA,2,"qlxz2",NA,2
"fn71z",1,16.64613279,0,"y66jg",52,2,"lelo4",NA,3
"zd9pz",0,17.74401095,0,"iuhgj",38,8,NA,NA,NA
"smkf5",1,18.40657084,0,"loynm",41,4,"elgh4",40,4
"b0qzu",1,43.30732375,0,"jd0g1",NA,5,"odw43",NA,2
"jaf2h",1,70.15195072,4,"yuw8b",NA,7,"na4vv",NA,7
"b0t7i",1,NA,0,"n4hmn",NA,4,"z0q29",32,1
"un6bm",1,81,3,"ineku",NA,2,"d2jz3",NA,2
"l2dfr",0,18.95140315,0,"twp17",54,5,"jaf2h",70,4
"wddeq",0,22.70499658,0,"elva4",45,3,"bu2op",53,3
"ypbzx",0,59.79466119,1,"oes6w",NA,2,"w60tl",NA,2
"r2j50",1,32,0,"unkxy",NA,3,"z4pux",NA,4
"j90t0",1,16.25188227,0,"vrj2b",NA,2,"hrved",47,3
"y66jg",0,51.65776865,2,"uqqaz",61,4,"kc67h",NA,4
"i4w9w",0,34,6,"oolpr",59,4,"e5mhw",NA,4
"u8hde",1,25.02121834,0,"uoxmj",47,4,NA,NA,NA
"ixnkp",1,NA,1,"qyd63",NA,1,NA,NA,NA
"hsn5e",0,52.36413415,2,"ohk5a",74,3,"pe4mt",NA,3
"h6ar8",1,37.45653662,0,"mfmrd",51,4,"d26vi",64,5
"ws1i5",1,NA,3,"mn1ak",NA,5,"l7cef",NA,5
"uwpxc",1,18,0,"tfnz1",45,8,"q6urs",45,6
"voill",1,51.34291581,6,NA,NA,NA,"zqosk",NA,1
"jd0g1",0,NA,5,"oes6w",NA,2,"w60tl",NA,2
"s2fmg",0,50.45585216,2,"dla2t",NA,3,"dd5xc",NA,3
"je5ej",1,NA,0,"iuhgj",38,8,"wwlnd",46,4
"dbvlr",0,31.74537988,2,"zpmvq",52,2,"obupm",54,2
"q0nmq",0,NA,0,"njxtg",33,3,"cmfbs",36,1
"baogq",0,33,1,"jd0g1",NA,5,"uoxxy",NA,11
"wtlvg",0,18.12731006,0,"ytk6p",40,8,"nt4y2",49,8
"ujiv0",0,51.12388775,6,NA,NA,NA,"w15zx",NA,2
"zoa0y",0,28.24640657,3,"fsnj2",51,5,"x4i4p",66,5
"zjeih",0,16.80219028,0,"atrhk",40,4,"cw6c0",29,4
"u6adr",1,NA,0,"tilat",NA,2,"eqhur",NA,2
"yj19e",0,NA,1,"wh6ce",NA,4,"cpsn0",NA,4
"s1jyx",0,20.00273785,0,"o25v4",39,2,"vi5kn",45,1
"ttvcq",1,15.68240931,0,"xwj09",41,5,"x1u1x",40,5
"je0jz",1,NA,0,"c138k",25,2,"szttu",NA,4
"bo83b",1,NA,1,"c4563",NA,3,"un6bm",81,3
"eghd2",0,NA,0,"it9b6",NA,2,"j52y9",NA,2
"ifcnr",0,NA,0,"jq6qf",37,4,"u4g7c",50,3
"cyj7x",1,16.29568789,0,"axap4",NA,3,NA,NA,NA
"imrze",1,24.13963039,0,"fneut",46,1,"zttn7",56,1
"vhial",0,51.35660507,2,"bbode",NA,2,"ykntj",NA,2
"w1k2k",0,43,4,"d3y0k",NA,3,"e1o0p",NA,3
"v7x02",1,34.36276523,1,"lfv5d",67,9,"uoxxy",NA,11
"na4vv",1,NA,7,"p3sz4",NA,2,"njysk",NA,2
"ir498",1,40.43805613,0,"raaoz",NA,4,"c6d10",78,4
"m3gvu",0,NA,0,"yic8c",28,3,"jzgei",33,4
"j2x6y",0,52.62696783,3,"fwsc0",76,3,"ddcip",78,3
"w3lsl",0,NA,0,"d9djy",39,3,NA,NA,NA
"zjin3",1,NA,0,"rbpo5",27,1,"vlvvi",21,1
"itfk4",0,20.69815195,0,"q0r3x",42,3,"k0am6",48,3
"ouehg",0,NA,1,"yu2wj",NA,3,"qbvw0",NA,3
"l8i1t",1,44.38056126,2,"raaoz",NA,4,"c6d10",78,4
"fbzsc",1,NA,0,"tc426",NA,6,"kjezt",59,6
"rw94l",0,16,0,"ujiv0",51,6,"voill",51,6
"bl8bd",0,NA,3,"ifg3h",NA,2,"avzbq",NA,2
"osmth",1,18,0,"ytk6p",40,8,"nt4y2",49,8
"m7mxh",0,NA,1,"tv6pa",NA,3,"pw3wc",NA,3
"coxtx",1,52.92539357,0,"k0vjj",NA,1,"n1vob",NA,1
"c85nh",0,NA,1,NA,NA,NA,"z4pux",NA,4
"l43pw",0,31.91238877,2,"hjzvw",NA,4,"alscy",NA,4
"ca89x",0,27.36755647,1,"ulzku",48,5,"xqoe8",51,5
"uoxmj",0,47.4661191,4,"hjzvw",NA,4,"alscy",NA,4
"tg2rl",0,17.82067077,0,"x60yn",37,2,"njnr3",39,2
"piwek",1,21,0,"gy9ug",47,5,"fb1da",53,5
"qzh8m",0,19.66324435,0,"dnkzd",48,6,"m5p9u",42,6
"rihz2",1,NA,0,"ed3rb",28,4,"ur7go",26,3
"wwlnd",1,45.69472964,4,"popci",75,8,"vibg0",NA,8
"hl4bv",1,72,1,"mn1ak",NA,5,"l7cef",NA,5
"exmvi",1,18.52156057,0,"i163d",42,2,"vrg42",47,2
"smqhb",0,23.39767283,2,"w1k2k",43,4,"e2h3n",52,4
"s6tnk",1,34,4,"uqqaz",61,4,"kc67h",NA,4
"ulsbo",0,20.90896646,2,"xcuzp",52,4,NA,NA,NA
"qq7w5",1,29.36071184,0,"ukuw8",68,3,"axe27",73,3
"kcykd",0,18.55441478,0,"miiin",60,1,"wemc1",41,1
"kr8ae",0,NA,2,"ouehg",NA,1,"z4e18",NA,1
"z2yr9",1,70,1,"wh6ce",NA,4,"cpsn0",NA,4
"q4ow3",0,25.5578371,2,"jcu87",50,2,"hajjk",50,2
"v4nqf",0,35.8384668,3,"svf0l",62,9,"xcypz",NA,8
"ii6d4",0,33.59890486,3,"mcq2v",56,7,"es3wc",NA,2
"ukuw8",0,68.29842574,3,"bl8bd",NA,3,"ws1i5",NA,3
"x6zyr",0,40.05201916,3,NA,NA,NA,"ibag8",NA,3
"jj7rw",0,50,10,"fx4t9",NA,4,"lth2t",NA,4
"vazz3",1,NA,3,"yr113",NA,4,"o1r1m",NA,4
"m8umr",0,29.72758385,0,"j2x6y",53,3,"szttu",NA,4
"tgcx1",1,21.13347023,0,"goksu",45,2,NA,NA,NA
"ubbhf",1,22.41478439,0,"ytk6p",40,8,"nt4y2",49,8
"j8610",0,NA,5,"qo7v2",69,5,"ydgtw",NA,5
"yic8c",0,28.01916496,3,"xcuzp",52,4,NA,NA,NA
"u4n8c",1,NA,2,"p6hgw",NA,3,"visxp",NA,3
"qpa0s",0,NA,0,"ifil4",54,4,"kvsw6",NA,2
"u40x2",1,35.59479808,3,"ughb5",67,4,"iwgcl",69,4
"alirk",1,57.44284736,0,"fwsc0",76,3,"ddcip",78,3
"rsmzh",1,69.75770021,2,"wpmbp",91,3,"cwnfc",NA,3
"sqel5",1,18,0,"oalze",56,4,"vn4yn",NA,4
"h95an",0,NA,4,"id4l9",NA,2,"tfogm",NA,2
"yla8p",1,34.00684463,3,"svf0l",62,9,"xcypz",NA,8
"zm2rj",1,34.55715264,0,"nlamw",69,3,"aviz3",NA,3
"obupm",1,54.4421629,2,"bvqfk",NA,2,"bbzr6",NA,2
"fs22r",1,30,4,NA,NA,NA,"lz3kh",57,5
"nidva",0,24.34223135,1,"tfnz1",45,8,"ze5ac",52,2
"ismyd",1,19.28268309,0,"w1k2k",43,4,"e2h3n",52,4
"w6kk1",1,28.79397673,2,"h95an",NA,4,"xcn37",NA,2
"fa9nn",1,NA,2,"waaj6",NA,3,"d29cz",NA,3
"lwqa0",0,34.9705681,1,"l67mm",NA,2,NA,NA,NA
"npdr2",1,17,0,"n331j",46,6,"hgh53",50,6
"vlvvi",1,21.0349076,1,"y66jg",52,2,"lelo4",NA,3
"td7je",1,18.64202601,0,"zei3x",42,6,"y01hx",48,6
"nwpcd",0,17.88637919,0,"urfna",29,4,"fs22r",30,4
"oyk9l",1,NA,0,"n4hmn",NA,4,"lm9gw",36,3
"kjezt",1,59.33196441,6,"vteoy",NA,2,"f0pn5",NA,2
"zfxwp",1,23.21697467,0,"n331j",46,6,"hgh53",50,6
"l4iw1",1,27.03627652,1,"m3ins",53,4,NA,NA,NA
"cblmq",0,23.67145791,1,"ju8l9",NA,3,"j3afj",NA,3
"mp7qj",1,NA,2,"yr113",NA,4,"o1r1m",NA,4
"bd4al",1,41.04859685,0,"ibvdn",63,3,"xueef",NA,3
"rq0dz",0,17.47022587,0,"j8610",NA,5,"v1zp5",49,5
"m56c9",0,24.44079398,1,"jj7rw",50,10,"nxtt2",NA,10
"yu7ol",0,37.7412731,2,"ughb5",67,4,"iwgcl",69,4
"z0wnj",1,17.84531143,0,"oxadt",43,3,"n7w9o",45,3
"yjnvw",0,78.57905544,5,"kjah4",NA,2,"thjw1",NA,2
"qynlq",1,NA,1,"ueyf7",NA,2,"ql83s",NA,2
"f5kxl",0,17,0,"mnvta",36,3,"e3gt7",45,4
"e7bfj",1,20,0,"nkbgn",56,2,"nvfcv",35,1
"ydgtw",1,NA,5,"b3pey",NA,1,"m7vrc",NA,1
"ur9lu",1,NA,1,"ay3lv",NA,1,"hugs8",NA,1
"ejh5d",1,22.10540726,0,"j8610",NA,5,"v1zp5",49,5
"es3wc",1,NA,2,"bwkmz",NA,2,"qrpng",NA,2
"zlgcj",0,16.3613963,0,"dvkqz",39,2,"hy0r7",61,2
"sqwg9",1,26.39835729,2,"elva4",45,3,"bu2op",53,3
"nt4y2",1,48.82956879,8,"cb1mo",61,1,"quiui",NA,2
"tc426",0,NA,6,"ccss0",NA,3,"j87dx",NA,3
"lwbfz",0,70,4,"ifg3h",NA,2,"avzbq",NA,2
"vzwen",1,NA,0,"n4hmn",NA,4,"lm9gw",36,3
"z29oi",0,41.29226557,2,"dit6f",NA,4,"ot6j1",NA,4
"pqgd2",1,32.33675565,0,"lfv5d",67,9,"uoxxy",NA,11
"i4rr4",0,18.11362081,0,"vrj2b",NA,2,"hrved",48,3
"lvzyn",1,35,0,"jel8y",70,6,"w1mcu",78,6
"fb1da",1,53.14168378,5,"ct2f3",NA,4,"g9dwx",NA,4
"qus4e",0,18.6146475,1,"xcuzp",52,4,NA,NA,NA
"ed4rq",1,18.99520876,0,"zmcg6",45,2,"tl9pa",49,2
"j49nb",0,NA,0,"gx1no",35,5,"v7x02",34,1
"ayyi3",0,NA,0,"kzvb6",46,4,"v5cqs",53,1
"of5ve",1,19.61670089,1,"ngl4x",43,4,"s6tnk",34,4
"cmfbs",1,35.58932238,1,"tc426",NA,6,"kjezt",59,6
"e0dvf",0,58.29431896,0,"dit6f",NA,4,"ot6j1",NA,4
"ynxm5",1,18,0,"v1vs0",44,3,"ja675",36,2
"oalze",0,56.47091034,4,"bl8bd",NA,3,"ws1i5",NA,3
"tcnb6",1,NA,1,"bvqfk",NA,2,"bbzr6",NA,2
"nmwxo",0,35,0,"dit6f",NA,4,"ot6j1",NA,4
"iqerg",1,18,0,"sdrlz",42,3,"rhoj3",45,2
"m839r",1,27.77823409,2,"jd0g1",NA,5,"odw43",NA,2
"n4e3d",1,19.32375086,0,"mcq2v",56,7,"sk6ab",56,4
"n0v0t",0,20,0,"yp6s4",54,1,NA,NA,NA
"ck9rq",1,20.70910335,0,"sgq48",NA,2,"u4g7c",50,3
"eb1q7",0,NA,0,"iuhgj",38,8,"wwlnd",46,4
"cgunn",0,48.73648186,5,"ua0m9",NA,1,"zce6s",NA,1
"m6ve4",0,19,0,"v1vs0",44,3,"ja675",36,2
"hmc1o",1,36.94729637,3,"nckjk",NA,1,"tcnb6",NA,1
"jvu5n",0,35,3,"yjnvw",79,5,"d4fwk",84,5
"uoxxy",1,NA,11,"b0zrd",NA,2,"iabs8",NA,2
"bwbts",1,32.26283368,1,"c85nh",NA,1,NA,NA,NA
"sl3ai",0,44.02464066,4,"x1eyu",NA,1,"z2yr9",70,1
"kzvb6",0,46,4,"raaoz",NA,4,"c6d10",78,4
"kbey7",0,74,0,"jpwsm",NA,4,"zh3sw",NA,4
"nyszz",1,40.90622861,0,"lwbfz",70,4,"t03da",62,4
"msth3",1,NA,2,"tl23p",67,3,"leps1",NA,3
"ju8l9",0,NA,3,"qtuwq",NA,3,"vazz3",NA,3
"iemmz",1,19.39219713,0,"ytk6p",40,8,"nt4y2",49,8
"l5b8j",1,42,1,"ccss0",NA,3,"j87dx",NA,3
"h4xmj",0,69.0403833,3,"jpwsm",NA,4,"zh3sw",NA,4
"rhowe",1,18.03422313,0,"jmm1z",41,3,"f3ph2",42,3
"un86t",1,52.60506502,3,"lle6h",NA,2,"fsu9l",NA,2
"vs8mf",1,40.01916496,0,"gifzr",57,3,"ekg75",NA,3
"fdlbb",1,46.03148528,2,"xcw5u",NA,3,"c3j7k",66,3
"r9nfa",0,16.49281314,0,"x6zyr",40,3,"tczd1",49,3
"vhs0r",0,36.60232717,2,"ukuw8",68,3,"axe27",74,3
"qhl0y",0,16.76933607,0,"h71lc",NA,2,"e3gt7",45,4
"og28y",0,52,2,"m32h9",NA,2,"zw9rj",NA,3
"xcn37",1,NA,2,"popci",75,8,"vibg0",NA,8
"jcu87",0,50.38193018,2,"lle6h",NA,2,"fsu9l",NA,2
"sdrlz",0,42.30253251,3,"kpupo",NA,2,NA,NA,NA
"lik62",1,26.60643395,0,NA,NA,NA,"kagxz",55,5
"eb843",0,30.82272416,1,"oalze",56,4,"vn4yn",NA,4
"br3lb",0,16.64339493,0,"uoxmj",47,4,NA,NA,NA
"f3lj5",0,NA,0,"mcq2v",56,7,"sk6ab",56,4
"zcvzn",1,23.98631075,0,"svf0l",62,9,"xcypz",NA,8
"jhfsa",0,NA,0,NA,NA,NA,"l5b8j",42,1
"gpoei",1,30.91854894,2,"m3ins",53,4,NA,NA,NA
"jirje",1,34.95140315,0,"qup51",NA,1,NA,NA,NA
"x0ey8",0,37.40999316,2,"ibvdn",63,3,"xueef",NA,3
"k2w93",0,NA,0,"it9b6",NA,2,"j52y9",NA,2
"qgagc",1,22.17111567,0,"xcuzp",52,4,NA,NA,NA
"gz74t",0,19.55646817,1,"dxyw7",38,1,"wsda7",53,3
"e8dph",1,17.65366188,0,"kzvb6",46,4,NA,NA,NA
"yg89t",0,22.0752909,1,"ngl4x",43,4,"s6tnk",34,4
"fp7em",1,70,2,"ineku",NA,2,"d2jz3",NA,2
"d26vi",1,64.07939767,5,"yuw8b",NA,7,"na4vv",NA,7
"mz6ha",1,19.08008214,0,"jj7rw",50,10,"nxtt2",NA,10
"p00ed",0,36,0,"qo7v2",69,5,"ydgtw",NA,5
"m6zsx",0,36.10951403,3,"h5h4e",NA,2,"rsmzh",70,2
"aedbw",0,23,0,"nkbgn",56,2,NA,NA,NA
"t7x21",1,22,0,"oalze",56,4,"vn4yn",NA,4
"xcypz",1,NA,8,"tilat",NA,2,"eqhur",NA,2
"fr1rw",1,39.6440794,1,"ughb5",67,4,"iwgcl",69,4
"vibg0",1,NA,8,NA,NA,NA,"apye9",NA,1
"euvfs",0,17.02121834,0,"koxp1",39,1,"dhi79",42,2
"iwgcl",1,69.09240246,4,"m32h9",NA,2,"zw9rj",NA,3
"sora1",1,NA,0,"rlk6c",38,7,"inreo",50,7
"rv7rx",0,25.14168378,0,"mcq2v",56,7,"sk6ab",56,4
"mfmrd",0,51,4,"jg2vv",NA,4,"zj4lr",NA,3
"vn4yn",1,NA,4,"wpmbp",91,3,"cwnfc",NA,3
"fomjp",1,22,0,"i1ojd",50,4,"yodsq",NA,3
"p8zlq",1,33.65913758,1,"swwvp",52,3,"fk913",68,3
"x88kl",1,18.97878166,0,"hsn5e",52,2,"oy56f",NA,2
"qs6z5",1,24.49555099,0,"w02f6",NA,3,"xc0a2",52,3
"kby4w",0,50.00958248,1,"ohk5a",74,3,"pe4mt",NA,3
"w6ifg",1,34.75975359,2,"c4563",NA,3,"un6bm",81,3
"knxfa",0,NA,1,"fq6ps",NA,3,"kzh4n",NA,3
"v9r1f",1,17.45106092,0,"mfciu",36,2,"hg0nq",38,2
"v5ojh",1,27,1,"mcq2v",56,7,NA,NA,NA
"cg0vn",0,36.96372348,2,"raaoz",NA,4,"c6d10",78,4
"ycw0c",1,70,1,"fegfn",NA,2,"fa9nn",NA,2
"kltfg",1,26,0,"kpupo",NA,2,"yf9o1",55,1
"obs61",1,16,0,NA,NA,NA,"kagxz",55,5
"aeptd",1,22.71047228,0,"lg5wj",58,6,"b01r1",62,6
"x4r64",1,16.77481177,0,"q0r3x",42,3,"k0am6",48,3
"jnbsa",0,20.3504449,0,"zpmvq",52,2,"obupm",54,2
"ngl4x",0,43.01984942,4,"fx4t9",NA,4,"lth2t",NA,4
"e3rbh",0,32.8843258,0,"l67mm",NA,2,"bo83b",NA,1
"zqho8",1,15.81930185,0,"ulzku",48,5,"xqoe8",51,5
"bbzr6",1,NA,2,"ne708",NA,2,"fulmu",NA,2
